frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,1.00,blind_forward,1,0,0,0.00,0.00,-0.84,0.00,0.01,1751310842.78,0,0.102,0.022,0.023,1.003
18,0.005,0.004,0.005,0.005,0.004,0.005,0.056,42,55,53,0.00,0.00,0.00,18.07,none,0,0,0,0.00,0.00,-0.84,0.00,0.02,1751310842.79,150,0.071,0.022,0.025,0.055
19,0.460,0.441,0.459,0.455,0.438,0.455,9.320,41,58,51,0.00,0.00,0.00,11.26,none,0,0,0,0.00,-0.00,-0.80,0.00,0.63,1751310842.85,150,0.080,0.021,0.022,0.089
20,3.404,3.266,3.052,2.944,2.824,2.592,106.058,44,56,50,0.00,0.00,0.00,8.22,none,0,0,0,0.01,-0.00,-0.69,0.00,1.18,1751310842.94,150,0.074,0.021,0.023,0.122
21,3.384,3.106,3.038,-0.020,-0.160,-0.013,52.156,34,59,57,0.00,0.00,0.00,8.00,none,0,0,0,0.04,-0.00,-0.55,0.00,1.21,1751310843.06,150,0.079,0.021,0.022,0.125
22,3.504,3.178,3.220,0.120,0.072,0.181,45.921,36,61,46,0.00,0.00,0.00,8.15,none,0,0,0,0.10,-0.00,-0.42,0.00,1.13,1751310843.18,143,0.077,0.019,0.025,0.123
23,3.725,3.230,3.503,0.221,0.053,0.283,17.035,52,48,50,0.00,0.00,0.00,8.44,none,0,0,0,0.19,-0.00,-0.31,0.00,1.13,1751310843.31,150,0.071,0.023,0.023,0.119
24,3.634,2.986,3.461,-0.092,-0.245,-0.042,17.128,48,55,47,0.00,0.00,0.00,8.68,none,0,0,0,0.29,-0.00,-0.23,-0.00,1.17,1751310843.42,150,0.070,0.020,0.022,0.115
25,3.629,2.844,3.462,-0.005,-0.142,0.001,18.681,54,51,45,0.00,0.00,0.00,7.43,none,0,0,0,0.43,-0.00,-0.16,-0.00,1.25,1751310843.54,150,0.089,0.022,0.022,0.135
26,3.809,2.835,3.673,0.180,-0.008,0.211,27.186,54,44,52,0.00,0.00,0.00,7.54,none,0,0,0,0.59,-0.00,-0.10,-0.00,1.35,1751310843.67,150,0.087,0.019,0.025,0.133
27,4.435,3.163,4.289,0.627,0.328,0.616,30.304,48,47,55,11.78,4.17,0.00,7.50,none,0,0,1,0.77,-0.00,-0.05,-0.00,1.44,1751310843.81,150,0.085,0.023,0.024,0.133
28,5.142,3.528,5.046,0.706,0.365,0.758,36.631,56,43,51,12.12,4.29,0.00,7.48,none,0,0,1,0.97,-0.00,-0.02,-0.00,1.53,1751310843.94,150,0.090,0.019,0.022,0.134
29,5.782,3.826,5.730,0.640,0.298,0.683,44.698,55,35,60,12.41,4.40,0.00,8.01,none,0,0,1,1.16,-0.00,-0.00,-0.00,1.60,1751310844.07,150,0.076,0.023,0.023,0.125
30,5.375,3.092,5.484,-0.407,-0.735,-0.245,46.459,60,25,65,12.65,4.49,0.00,7.81,none,0,0,1,1.37,-0.00,0.02,-0.00,1.66,1751310844.20,150,0.083,0.020,0.023,0.128
31,5.844,3.356,6.123,0.469,0.264,0.639,53.699,69,15,64,12.86,4.57,0.00,8.17,none,0,0,1,1.57,-0.00,0.03,-0.00,1.71,1751310844.33,148,0.072,0.023,0.025,0.122
32,6.287,3.537,6.683,0.443,0.181,0.560,77.957,75,5,69,13.03,4.63,0.00,8.51,none,0,0,1,1.78,-0.00,0.03,-0.00,1.76,1751310844.45,149,0.071,0.021,0.024,0.117
33,6.545,3.840,7.093,0.259,0.303,0.409,52.750,77,2,66,13.18,4.69,0.00,7.64,none,0,0,1,2.01,-0.00,0.04,-0.00,1.80,1751310844.57,145,0.083,0.022,0.024,0.131
34,7.075,4.414,7.576,0.529,0.574,0.484,48.039,75,3,71,13.32,4.74,0.00,7.14,none,0,0,1,2.26,-0.00,0.04,-0.00,1.83,1751310844.70,149,0.097,0.019,0.023,0.140
35,7.517,5.148,8.011,0.442,0.734,0.434,52.945,78,2,70,13.27,4.73,0.00,7.62,resume_reinforce,0,0,1,2.50,-0.00,0.04,-0.00,1.82,1751310844.84,150,0.083,0.022,0.022,0.131
36,7.885,6.112,8.372,0.369,0.964,0.361,39.581,70,2,75,12.94,4.60,0.00,8.50,none,0,0,1,2.71,-0.00,0.03,-0.00,1.74,1751310844.97,147,0.074,0.020,0.023,0.118
37,7.853,7.135,8.284,-0.033,1.022,-0.088,37.883,76,2,72,12.86,4.57,0.00,7.10,none,0,0,1,2.95,-0.00,0.01,-0.00,1.71,1751310845.09,150,0.095,0.020,0.024,0.141
38,7.883,8.021,8.187,0.031,0.887,-0.097,39.862,79,1,69,12.92,4.59,0.00,7.86,none,0,0,1,3.17,-0.00,0.01,-0.00,1.73,1751310845.23,149,0.074,0.024,0.026,0.127
39,8.025,8.194,8.102,0.142,0.173,-0.085,56.790,77,1,72,13.03,4.63,0.00,8.05,none,0,0,1,3.38,-0.00,0.02,-0.00,1.76,1751310845.35,150,0.075,0.023,0.024,0.124
40,8.175,8.858,8.129,0.150,0.664,0.027,66.182,75,1,74,13.13,4.67,0.00,8.83,none,0,0,1,3.59,-0.00,0.02,-0.00,1.78,1751310845.48,150,0.070,0.021,0.022,0.113
41,8.353,9.311,8.181,0.178,0.453,0.053,63.745,71,3,73,13.25,4.72,0.00,8.11,none,0,0,1,3.81,-0.00,0.02,-0.00,1.81,1751310845.59,147,0.074,0.024,0.022,0.123
42,8.455,8.825,8.179,0.101,-0.486,-0.003,56.682,74,3,73,13.35,4.76,0.00,7.91,none,0,0,1,4.04,-0.00,0.02,-0.00,1.84,1751310845.71,150,0.082,0.021,0.022,0.126
43,8.720,8.215,8.195,0.266,-0.611,0.017,62.353,75,3,70,13.44,4.79,0.00,8.63,none,0,0,1,4.25,-0.00,0.03,-0.00,1.86,1751310845.84,148,0.070,0.021,0.023,0.116
44,8.860,7.569,8.476,0.139,-0.646,0.281,67.265,78,4,68,13.51,4.81,0.00,8.88,none,0,0,1,4.46,-0.00,0.03,-0.00,1.88,1751310845.96,150,0.068,0.020,0.024,0.113
45,9.111,6.712,8.866,0.252,-0.857,0.390,70.000,69,6,75,13.57,4.84,0.00,8.33,none,0,0,1,4.69,-0.00,0.03,-0.00,1.89,1751310846.07,150,0.074,0.022,0.021,0.120
46,9.412,5.506,9.338,0.301,-1.207,0.471,100.025,76,4,70,13.62,4.86,0.00,8.76,none,0,0,1,4.90,-0.00,0.02,-0.00,1.91,1751310846.19,150,0.068,0.019,0.025,0.114
47,10.316,4.206,10.570,0.904,-1.300,1.232,121.399,74,6,69,13.67,4.88,0.00,8.46,none,0,0,1,5.13,-0.00,0.02,-0.00,1.92,1751310846.30,149,0.073,0.020,0.025,0.118
48,11.423,3.659,11.950,1.107,-0.547,1.380,191.424,70,22,54,13.71,4.89,0.00,9.03,none,0,0,1,5.34,-0.00,0.02,-0.00,1.93,1751310846.42,146,0.066,0.019,0.023,0.111
49,12.818,3.803,13.193,1.395,0.144,1.243,284.785,41,63,43,13.74,4.90,0.00,8.73,none,0,0,1,5.56,-0.00,0.02,-0.00,1.93,1751310846.53,147,0.068,0.018,0.027,0.115
