frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
17,1751214241.27,0,0.000,0.000,0.000,0.000,0.00,0.00,-0.84,0.00,0.01,blind_forward,1,0,0,0.00,0.00,0.00,1.00,0.090,0.020,0.022,1.004
18,1751214241.27,150,0.027,0.019,0.026,0.670,0.00,-0.00,-0.84,-0.00,0.06,none,0,0,0,0.00,0.00,0.00,9.32,0.075,0.020,0.022,0.107
19,1751214241.38,150,2.506,1.495,2.287,67.540,0.02,-0.00,-0.86,-0.00,0.31,none,0,0,0,0.00,0.00,0.00,8.01,0.076,0.023,0.024,0.125
20,1751214241.50,149,3.253,2.340,3.310,56.447,0.07,-0.00,-0.89,-0.00,0.54,none,0,0,0,0.00,0.00,0.00,7.10,0.097,0.021,0.023,0.141
21,1751214241.64,150,3.766,2.636,3.710,17.311,0.15,-0.00,-0.91,-0.00,0.74,none,0,0,0,0.00,0.00,0.00,7.47,0.088,0.020,0.023,0.134
22,1751214241.78,150,4.354,3.190,4.471,30.396,0.27,-0.00,-0.94,-0.00,0.94,none,0,0,0,0.00,0.00,0.00,7.38,0.086,0.023,0.025,0.136
23,1751214241.91,150,4.679,3.377,4.716,42.790,0.38,-0.00,-0.95,-0.00,1.08,none,0,0,0,0.00,0.00,0.00,8.57,0.069,0.022,0.024,0.117
24,1751214242.03,150,4.966,3.676,4.952,36.636,0.53,-0.00,-0.96,-0.00,1.23,none,0,0,0,0.00,0.00,0.00,7.67,0.085,0.019,0.025,0.130
25,1751214242.16,150,5.149,3.761,5.070,36.845,0.70,-0.00,-0.96,-0.00,1.35,none,0,0,0,0.00,0.00,0.00,7.72,0.080,0.022,0.025,0.129
26,1751214242.29,150,5.337,3.980,5.214,36.087,0.87,0.00,-0.97,-0.00,1.46,none,0,0,0,7.91,4.18,0.00,8.24,0.075,0.020,0.025,0.121
27,1751214242.41,150,6.076,4.655,5.905,31.599,1.07,0.00,-0.97,-0.00,1.55,none,0,0,0,8.09,4.32,0.00,7.55,0.086,0.022,0.022,0.132
28,1751214242.54,150,6.777,5.301,6.613,35.946,1.26,0.00,-0.97,-0.00,1.62,none,0,0,0,8.23,4.43,0.00,8.30,0.071,0.023,0.022,0.120
29,1751214242.67,150,6.814,5.613,6.702,37.355,1.45,0.00,-0.97,-0.00,1.67,none,0,0,0,8.35,4.51,0.00,8.70,0.073,0.019,0.022,0.115
30,1751214242.78,148,7.216,5.855,6.997,39.044,1.66,0.00,-0.97,-0.00,1.72,none,0,0,0,8.45,4.59,0.00,7.96,0.078,0.021,0.023,0.126
31,1751214242.91,149,7.473,6.195,7.361,52.504,1.87,0.00,-0.97,-0.00,1.77,none,0,0,0,8.53,4.65,0.00,8.39,0.074,0.019,0.023,0.119
32,1751214243.02,145,7.574,6.415,7.319,43.016,2.12,0.00,-0.96,-0.00,1.81,none,0,0,0,8.61,4.71,0.00,6.89,0.101,0.020,0.023,0.145
33,1751214243.17,150,7.717,7.076,7.393,48.015,2.34,0.00,-0.96,-0.00,1.83,none,0,0,0,8.67,4.75,0.00,8.66,0.069,0.023,0.022,0.115
34,1751214243.29,149,7.926,7.562,7.618,52.226,2.58,0.00,-0.96,-0.00,1.85,resume_reinforce,0,0,0,8.69,4.77,0.00,7.43,0.087,0.022,0.022,0.135
35,1751214243.42,150,8.223,9.160,7.929,58.641,2.81,0.00,-0.95,-0.00,1.79,brake,0,1,0,8.59,4.69,0.00,7.99,0.075,0.023,0.028,0.125
36,1751214243.55,150,8.431,8.565,8.198,51.039,3.02,0.00,-0.94,-0.00,1.77,brake,0,1,0,8.55,4.66,0.00,8.21,0.072,0.023,0.023,0.122
37,1751214243.67,150,8.605,7.890,8.301,41.282,3.23,0.00,-0.94,-0.00,1.62,none,0,0,0,8.24,4.43,0.00,8.14,0.081,0.019,0.023,0.123
38,1751214243.79,150,8.842,7.240,8.556,58.013,3.40,0.00,-0.96,-0.00,1.42,none,0,0,0,7.85,4.14,0.00,9.23,0.066,0.018,0.021,0.108
39,1751214243.90,147,8.939,7.936,8.648,50.385,3.55,0.00,-0.98,-0.00,1.18,brake,0,1,0,7.37,3.78,0.00,8.73,0.069,0.021,0.022,0.115
40,1751214244.01,150,9.354,7.982,8.965,54.921,3.66,0.00,-1.00,-0.00,0.94,brake,0,1,0,6.89,3.41,0.00,9.03,0.069,0.018,0.021,0.111
41,1751214244.12,148,9.576,7.513,9.173,59.458,3.76,0.00,-1.01,-0.00,0.68,brake,0,1,0,6.36,3.02,0.00,8.03,0.080,0.018,0.024,0.124
42,1751214244.25,150,9.693,6.802,9.263,51.206,3.83,0.00,-1.01,-0.00,0.42,brake,0,1,0,5.84,2.63,0.00,8.13,0.079,0.021,0.022,0.123
43,1751214244.37,150,9.897,6.061,9.578,28.041,3.86,0.00,-1.00,-0.00,0.21,brake,0,1,0,5.43,2.32,0.00,9.08,0.067,0.019,0.022,0.110
44,1751214244.48,150,9.902,5.497,9.610,29.345,3.87,0.00,-0.99,-0.00,0.12,brake,0,1,0,5.24,2.18,0.00,7.27,0.096,0.019,0.021,0.138
45,1751214244.62,150,9.985,4.210,9.724,72.455,3.85,-0.00,-0.97,-0.00,0.27,none,0,0,0,5.55,2.41,0.00,8.58,0.074,0.021,0.020,0.117
46,1751214244.74,145,10.136,4.936,9.808,66.146,3.81,-0.00,-0.96,-0.00,0.44,none,0,0,0,5.87,2.66,0.00,8.21,0.074,0.022,0.025,0.122
47,1751214244.86,150,10.385,5.764,10.167,61.938,3.76,-0.00,-0.95,-0.00,0.57,none,0,0,0,6.15,2.86,0.00,8.59,0.073,0.020,0.022,0.116
48,1751214244.97,149,10.657,6.562,10.369,50.726,3.67,-0.00,-0.93,-0.00,0.70,brake,0,1,0,6.40,3.05,0.00,7.16,0.092,0.021,0.021,0.140
49,1751214245.11,144,10.957,6.063,10.692,46.120,3.57,-0.00,-0.93,-0.00,0.78,none,0,0,0,6.57,3.18,0.00,7.94,0.084,0.020,0.022,0.126
50,1751214245.24,150,10.839,6.137,10.553,42.872,3.47,-0.00,-0.92,-0.00,0.84,none,0,0,0,6.67,3.26,0.00,7.99,0.083,0.020,0.022,0.125
51,1751214245.36,150,10.991,6.733,10.593,33.376,3.35,-0.00,-0.92,-0.00,0.86,brake,0,1,0,6.72,3.29,0.00,7.21,0.094,0.021,0.020,0.139
52,1751214245.50,150,11.217,7.453,10.863,35.929,3.24,-0.00,-0.93,-0.00,0.85,brake,0,1,0,6.70,3.28,0.00,7.57,0.089,0.020,0.022,0.132
