frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
16,1751196481.15,150,0.023,0.017,0.033,0.343,0.00,0.00,-0.85,0.00,0.01,none,1,0,0,20.09,2.01,0.00,1.02,0.070,0.021,0.025,0.976
17,1751196481.22,150,0.045,0.033,0.066,0.654,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.12,2.02,0.00,3.87,0.082,0.017,0.021,0.259
18,1751196481.46,150,0.060,0.043,0.080,0.675,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.09,0.089,0.019,0.023,0.244
19,1751196481.71,150,0.062,0.052,0.087,0.741,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.37,0.077,0.020,0.021,0.229
20,1751196481.94,150,0.069,0.056,0.091,0.787,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.11,2.02,0.00,4.26,0.072,0.018,0.021,0.235
21,1751196482.17,150,0.070,0.055,0.090,0.666,0.00,0.00,-0.86,0.00,0.01,resume_reinforce,0,0,0,20.10,2.01,0.00,4.55,0.064,0.018,0.024,0.220
22,1751196482.39,150,1.369,0.914,1.019,182.083,0.02,-0.00,-0.87,-0.00,0.30,none,0,0,0,0.00,0.00,0.00,4.43,0.072,0.022,0.021,0.226
23,1751196482.62,148,1.947,1.343,1.659,20.053,0.12,-0.00,-0.92,-0.00,0.68,none,0,0,0,0.00,0.00,0.00,4.22,0.073,0.020,0.023,0.237
24,1751196482.85,148,2.422,1.791,2.378,37.650,0.34,-0.00,-0.96,-0.00,1.04,none,0,0,0,0.00,0.00,0.00,3.86,0.089,0.018,0.023,0.259
25,1751196483.12,144,2.923,2.226,2.974,53.948,0.62,-0.00,-0.98,-0.00,1.30,none,0,0,0,0.00,0.00,0.00,4.22,0.069,0.021,0.022,0.237
26,1751196483.35,147,3.713,2.888,3.856,66.743,0.96,-0.00,-0.98,-0.00,1.50,none,0,0,0,0.00,0.00,0.00,4.11,0.076,0.021,0.023,0.243
27,1751196483.59,146,4.354,3.525,4.698,111.365,1.31,-0.00,-0.98,-0.00,1.64,none,0,0,0,36.35,4.45,0.00,4.40,0.065,0.019,0.024,0.227
28,1751196483.82,148,4.918,4.024,5.455,110.235,1.74,-0.00,-0.98,-0.00,1.74,none,0,0,0,37.40,4.61,0.00,4.01,0.091,0.021,0.022,0.250
29,1751196484.07,150,5.538,4.677,6.188,59.511,2.15,-0.00,-0.98,-0.00,1.81,none,0,0,0,38.09,4.71,0.00,4.33,0.074,0.018,0.022,0.231
30,1751196484.30,150,6.215,5.235,6.947,58.445,2.59,-0.00,-0.98,-0.00,1.86,none,0,0,0,38.60,4.79,0.00,4.11,0.084,0.022,0.022,0.243
31,1751196484.54,147,6.947,5.923,7.682,63.119,3.05,0.00,-0.97,-0.00,1.90,resume_reinforce,0,0,0,38.96,4.84,0.00,4.08,0.075,0.020,0.023,0.245
32,1751196484.79,147,6.789,5.955,7.723,61.457,3.50,0.00,-0.97,-0.00,1.92,none,0,0,0,39.20,4.88,0.00,4.28,0.070,0.021,0.022,0.234
33,1751196485.02,147,6.910,5.546,7.838,59.419,4.03,0.00,-0.97,-0.00,1.94,none,0,0,0,39.39,4.91,0.00,3.61,0.095,0.020,0.021,0.277
34,1751196485.30,148,6.949,5.028,7.673,115.422,4.49,0.00,-0.97,-0.00,1.95,none,0,0,0,39.51,4.93,0.00,4.20,0.077,0.019,0.023,0.238
35,1751196485.54,149,6.926,4.450,7.508,122.683,4.98,0.00,-0.97,-0.00,1.96,none,0,0,0,39.59,4.94,0.00,3.96,0.096,0.020,0.021,0.252
36,1751196485.79,145,6.885,3.855,7.277,242.443,5.44,0.00,-0.96,-0.00,1.96,none,0,0,0,39.64,4.95,0.00,4.28,0.071,0.019,0.024,0.233
37,1751196486.02,143,6.975,3.385,6.953,91.431,5.91,0.00,-0.96,-0.00,1.97,none,0,0,0,39.68,4.95,0.00,4.12,0.069,0.021,0.021,0.243
38,1751196486.27,149,7.173,3.035,6.959,81.205,6.42,0.00,-0.96,-0.00,1.97,none,0,0,0,39.71,4.96,0.00,3.85,0.085,0.023,0.023,0.260
39,1751196486.53,149,7.276,2.595,6.773,68.548,6.94,0.00,-0.96,-0.00,1.97,none,0,0,0,39.73,4.96,0.00,3.85,0.097,0.019,0.021,0.260
40,1751196486.79,150,7.348,2.369,6.781,69.082,7.40,0.00,-0.96,-0.00,1.97,resume_reinforce,0,0,0,39.74,4.96,0.00,4.22,0.076,0.018,0.026,0.237
41,1751196487.03,148,7.311,1.959,6.833,101.417,7.87,0.00,-0.96,-0.00,1.98,none,0,0,0,39.75,4.96,0.00,4.20,0.080,0.019,0.022,0.238
42,1751196487.26,146,7.271,1.548,6.849,86.220,8.36,0.00,-0.96,-0.00,1.98,none,0,0,0,39.76,4.96,0.00,4.03,0.074,0.022,0.022,0.248
43,1751196487.51,148,7.340,1.708,6.842,60.342,8.90,0.00,-0.96,-0.00,1.98,none,0,0,0,39.76,4.96,0.00,3.60,0.101,0.019,0.022,0.278
44,1751196487.79,147,7.371,1.921,6.925,90.355,9.37,0.00,-0.96,-0.00,1.98,none,0,0,0,39.77,4.96,0.00,4.23,0.072,0.020,0.023,0.236
45,1751196488.02,150,7.383,2.018,7.084,81.688,9.88,0.00,-0.96,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,3.92,0.088,0.020,0.023,0.255
