frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
17,1751214760.70,0,0.000,0.000,0.000,0.000,0.00,0.00,-0.85,0.00,0.01,blind_forward,1,0,0,0.00,0.00,0.00,1.00,0.074,0.019,0.020,1.002
18,1751214760.71,150,0.015,0.012,0.013,0.186,0.00,0.00,-0.85,0.00,0.03,none,0,0,0,0.00,0.00,0.00,12.61,0.078,0.019,0.023,0.079
19,1751214760.79,150,2.598,2.446,2.668,61.984,0.01,0.00,-0.85,0.00,0.24,none,0,0,0,0.00,0.00,0.00,8.45,0.074,0.020,0.023,0.118
20,1751214760.90,150,3.881,3.144,3.961,79.525,0.05,0.00,-0.88,-0.00,0.47,none,0,0,0,0.00,0.00,0.00,7.83,0.083,0.021,0.022,0.128
21,1751214761.03,150,4.378,3.556,4.406,41.384,0.11,0.00,-0.90,-0.00,0.65,none,0,0,0,0.00,0.00,0.00,8.47,0.073,0.020,0.024,0.118
22,1751214761.15,150,4.387,3.509,4.418,14.375,0.20,0.00,-0.93,-0.00,0.84,none,0,0,0,0.00,0.00,0.00,8.00,0.078,0.019,0.026,0.125
23,1751214761.27,150,4.821,3.810,4.870,35.938,0.31,0.00,-0.94,-0.00,1.00,none,0,0,0,0.00,0.00,0.00,8.38,0.072,0.020,0.025,0.119
24,1751214761.39,149,5.067,3.994,5.085,39.353,0.44,0.00,-0.95,0.00,1.15,none,0,0,0,0.00,0.00,0.00,8.12,0.080,0.020,0.023,0.123
25,1751214761.52,150,5.256,4.136,5.197,34.974,0.60,0.00,-0.96,0.00,1.29,none,0,0,0,0.00,0.00,0.00,7.63,0.087,0.022,0.022,0.131
26,1751214761.65,150,5.417,4.261,5.266,38.426,0.77,0.00,-0.97,0.00,1.40,none,0,0,0,0.00,0.00,0.00,8.12,0.079,0.020,0.022,0.123
27,1751214761.77,150,6.166,4.919,5.990,38.509,0.93,0.00,-0.97,0.00,1.49,none,0,0,0,8.72,4.23,0.00,8.78,0.068,0.021,0.022,0.114
28,1751214761.88,150,7.041,5.593,6.801,31.186,1.12,0.00,-0.97,0.00,1.57,none,0,0,0,8.91,4.35,0.00,8.19,0.074,0.021,0.026,0.122
29,1751214762.01,150,7.113,5.568,6.848,33.571,1.31,-0.00,-0.97,0.00,1.63,none,0,0,0,9.08,4.45,0.00,8.49,0.074,0.020,0.021,0.118
30,1751214762.13,150,7.192,5.765,6.889,34.657,1.52,-0.00,-0.97,0.00,1.69,none,0,0,0,9.23,4.54,0.00,7.50,0.083,0.024,0.024,0.133
31,1751214762.26,148,7.404,6.030,7.022,47.753,1.73,-0.00,-0.97,0.00,1.74,none,0,0,0,9.35,4.61,0.00,8.44,0.071,0.022,0.024,0.119
32,1751214762.38,147,7.805,6.464,7.436,50.347,1.94,-0.00,-0.97,0.00,1.78,none,0,0,0,9.44,4.67,0.00,8.42,0.075,0.020,0.022,0.119
33,1751214762.50,150,7.865,6.758,7.447,52.397,2.15,-0.00,-0.97,0.00,1.81,none,0,0,0,9.53,4.72,0.00,8.37,0.075,0.019,0.024,0.120
34,1751214762.61,150,7.977,7.222,7.579,51.604,2.38,-0.00,-0.96,0.00,1.84,none,0,0,0,9.60,4.76,0.00,7.96,0.083,0.020,0.022,0.126
35,1751214762.74,150,8.252,7.882,7.778,58.015,2.61,-0.00,-0.96,0.00,1.84,resume_reinforce,0,0,0,9.59,4.75,0.00,8.03,0.079,0.019,0.023,0.125
36,1751214762.87,150,8.664,8.575,8.022,72.620,2.85,-0.00,-0.95,0.00,1.77,none,0,0,0,9.43,4.66,0.00,7.47,0.081,0.025,0.026,0.134
37,1751214763.00,146,8.574,7.917,7.911,30.178,3.07,-0.00,-0.94,0.00,1.76,none,0,0,0,9.40,4.64,0.00,7.95,0.074,0.025,0.024,0.126
38,1751214763.12,150,8.726,7.241,7.991,49.201,3.31,-0.00,-0.93,0.00,1.77,none,0,0,0,9.44,4.66,0.00,7.23,0.094,0.022,0.022,0.138
39,1751214763.26,150,8.806,6.535,7.928,60.739,3.53,-0.00,-0.92,-0.00,1.80,none,0,0,0,9.49,4.69,0.00,8.42,0.070,0.023,0.024,0.119
40,1751214763.38,150,8.956,6.055,8.095,62.696,3.73,0.00,-0.92,-0.00,1.82,none,0,0,0,9.55,4.73,0.00,8.81,0.070,0.021,0.023,0.113
41,1751214763.50,150,9.113,5.356,8.335,55.396,3.96,0.00,-0.91,-0.00,1.84,none,0,0,0,9.61,4.76,0.00,7.79,0.078,0.024,0.023,0.128
42,1751214763.62,150,9.219,4.615,8.545,61.199,4.17,0.00,-0.91,-0.00,1.86,none,0,0,0,9.65,4.79,0.00,8.64,0.073,0.020,0.022,0.116
43,1751214763.74,150,9.389,3.806,8.675,65.883,4.39,0.00,-0.90,-0.00,1.88,none,0,0,0,9.70,4.82,0.00,8.69,0.069,0.021,0.023,0.115
44,1751214763.85,148,9.720,2.882,8.892,64.904,4.62,0.00,-0.90,-0.00,1.89,none,0,0,0,9.74,4.84,0.00,8.32,0.073,0.023,0.024,0.120
45,1751214763.98,147,10.096,1.705,9.114,81.408,4.83,0.00,-0.89,-0.00,1.91,none,0,0,1,9.77,4.86,0.00,8.87,0.068,0.019,0.024,0.113
46,1751214764.09,149,10.569,0.524,9.534,99.151,5.05,0.00,-0.89,-0.00,1.92,none,0,0,1,9.79,4.88,0.00,8.92,0.069,0.021,0.021,0.112
47,1751214764.20,147,11.916,0.855,10.929,145.632,5.27,0.00,-0.89,-0.00,1.93,none,0,0,1,9.82,4.89,0.00,8.61,0.071,0.022,0.021,0.116
48,1751214764.32,149,13.081,1.658,12.158,221.924,5.48,0.00,-0.89,-0.00,1.93,none,0,0,1,9.84,4.90,0.00,9.00,0.064,0.022,0.024,0.111
49,1751214764.43,149,13.431,2.399,12.922,110.709,5.71,0.00,-0.88,-0.00,1.94,none,0,0,0,9.85,4.91,0.00,8.39,0.076,0.018,0.022,0.119
50,1751214764.55,147,13.769,2.444,13.677,121.914,5.96,0.00,-0.88,-0.00,1.95,none,0,0,0,9.87,4.92,0.00,7.77,0.087,0.018,0.023,0.129
51,1751214764.68,150,13.989,2.553,14.251,109.217,6.19,0.00,-0.88,-0.00,1.95,none,0,0,0,9.88,4.93,0.00,8.47,0.077,0.017,0.022,0.118
52,1751214764.79,147,14.494,3.022,14.542,99.740,6.45,0.00,-0.88,-0.00,1.96,none,0,0,0,9.89,4.94,0.00,7.57,0.088,0.019,0.022,0.132
53,1751214764.93,148,15.012,3.690,14.921,112.435,6.67,0.00,-0.88,-0.00,1.96,resume_reinforce,0,0,0,9.90,4.94,0.00,9.02,0.068,0.019,0.021,0.111
54,1751214765.04,138,15.407,4.027,15.180,92.338,6.91,0.00,-0.88,-0.00,1.96,none,0,0,0,9.91,4.94,0.00,8.02,0.079,0.022,0.024,0.125
55,1751214765.16,148,15.564,4.588,15.561,98.064,7.15,0.00,-0.87,-0.00,1.97,none,0,0,0,9.91,4.95,0.00,8.09,0.074,0.022,0.024,0.124
56,1751214765.28,148,15.292,5.038,15.522,78.628,7.40,0.00,-0.87,-0.00,1.97,none,0,0,0,9.92,4.95,0.00,7.92,0.084,0.019,0.021,0.126
57,1751214765.41,147,14.489,5.309,14.803,66.176,7.68,0.00,-0.87,-0.00,1.97,none,0,0,0,9.92,4.95,0.00,7.21,0.096,0.019,0.022,0.139
58,1751214765.55,150,13.585,5.093,13.932,90.467,7.93,0.00,-0.87,-0.00,1.97,none,0,0,0,9.93,4.96,0.00,7.72,0.085,0.018,0.023,0.130
59,1751214765.68,143,13.691,4.803,13.662,108.008,8.14,0.00,-0.87,-0.00,1.97,none,0,0,0,9.93,4.96,0.00,9.32,0.066,0.018,0.022,0.107
60,1751214765.79,148,13.849,4.778,13.270,116.369,8.36,0.00,-0.87,-0.00,1.97,none,0,0,0,9.93,4.96,0.00,9.24,0.067,0.019,0.022,0.108
61,1751214765.89,144,13.869,4.880,13.246,104.574,8.60,0.00,-0.87,-0.00,1.97,none,0,0,0,9.93,4.96,0.00,8.10,0.078,0.019,0.023,0.123
62,1751214766.02,147,14.060,4.621,13.107,104.733,8.81,0.00,-0.87,-0.00,1.97,none,0,0,0,9.93,4.96,0.00,9.28,0.067,0.018,0.022,0.108
63,1751214766.13,147,14.075,4.233,13.077,102.548,9.04,0.00,-0.87,-0.00,1.97,none,0,0,0,9.94,4.96,0.00,8.38,0.071,0.020,0.026,0.119
64,1751214766.25,146,14.389,4.152,12.821,104.728,9.27,0.00,-0.87,-0.00,1.97,none,0,0,1,9.94,4.96,0.00,8.29,0.072,0.021,0.025,0.121
65,1751214766.37,149,14.648,3.941,12.760,117.436,9.51,0.00,-0.87,-0.00,1.98,none,0,0,1,9.94,4.96,0.00,8.65,0.070,0.020,0.024,0.116
66,1751214766.48,146,14.852,3.629,13.093,127.623,9.72,0.00,-0.87,-0.00,1.98,none,0,0,1,9.94,4.96,0.00,8.96,0.066,0.018,0.025,0.112
67,1751214766.59,149,14.921,3.527,13.260,117.010,9.94,0.00,-0.87,-0.00,1.98,none,0,0,1,9.94,4.96,0.00,8.67,0.069,0.019,0.024,0.115
68,1751214766.71,145,14.940,3.300,13.461,92.521,10.19,0.00,-0.86,-0.00,1.98,none,0,0,1,9.94,4.96,0.00,8.14,0.081,0.018,0.023,0.123
69,1751214766.83,149,15.077,3.212,13.580,106.068,10.41,0.00,-0.86,-0.00,1.98,none,0,0,1,9.94,4.96,0.00,8.81,0.068,0.021,0.023,0.114
70,1751214766.95,150,15.104,3.515,13.548,112.165,10.63,0.00,-0.86,-0.00,1.98,none,0,0,1,9.94,4.96,0.00,9.01,0.068,0.018,0.024,0.111
71,1751214767.06,141,15.545,3.432,13.318,132.390,10.86,0.00,-0.86,-0.00,1.98,resume_reinforce,0,0,1,9.94,4.96,0.00,8.68,0.070,0.017,0.024,0.115
72,1751214767.17,147,15.201,3.600,13.368,96.553,11.09,0.00,-0.86,-0.00,1.98,none,0,0,1,9.94,4.96,0.00,8.34,0.076,0.019,0.023,0.120
73,1751214767.29,145,14.963,3.708,13.472,85.500,11.32,0.00,-0.86,-0.00,1.98,none,0,0,1,9.94,4.97,0.00,8.79,0.068,0.020,0.024,0.114
74,1751214767.40,148,14.376,3.972,13.823,94.885,11.54,0.00,-0.86,-0.00,1.98,none,0,0,0,9.94,4.97,0.00,8.60,0.069,0.020,0.025,0.116
75,1751214767.52,147,14.020,4.187,13.755,104.970,11.78,0.00,-0.86,-0.00,1.98,none,0,0,0,9.94,4.97,0.00,8.73,0.070,0.018,0.025,0.115
76,1751214767.64,145,13.996,4.358,13.419,102.978,12.01,0.00,-0.86,-0.00,1.98,none,0,0,0,9.94,4.97,0.00,8.51,0.074,0.018,0.023,0.118
