frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,5.02,2.01,0.00,1.00,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751308944.86,0,0.073,0.019,0.023,1.004
18,0.017,0.015,0.014,0.017,0.015,0.014,0.217,43,58,49,0.00,0.00,0.00,12.37,none,0,0,0,0.00,-0.00,-0.84,-0.00,0.31,1751308944.86,150,0.073,0.019,0.024,0.081
19,2.533,2.406,2.735,2.517,2.392,2.721,53.124,46,59,45,0.00,0.00,0.00,7.42,none,0,0,0,0.01,-0.00,-0.75,0.00,0.97,1751308944.95,150,0.090,0.021,0.023,0.135
20,3.526,2.972,4.128,0.993,0.566,1.393,76.055,36,65,48,0.00,0.00,0.00,6.98,none,0,0,0,0.03,-0.00,-0.59,0.00,1.23,1751308945.08,149,0.097,0.019,0.026,0.143
21,3.906,3.301,4.399,0.380,0.329,0.271,32.339,37,59,48,0.00,0.00,0.00,7.08,none,0,0,0,0.10,-0.00,-0.43,0.00,1.14,1751308945.22,144,0.093,0.023,0.023,0.141
22,4.388,3.607,4.837,0.482,0.306,0.439,27.097,46,53,50,0.00,0.00,0.00,8.13,none,0,0,0,0.18,-0.00,-0.32,0.00,1.13,1751308945.36,149,0.074,0.022,0.026,0.123
23,4.238,3.293,4.626,-0.150,-0.314,-0.211,16.086,50,57,43,0.00,0.00,0.00,7.67,none,0,0,0,0.30,-0.00,-0.23,0.00,1.18,1751308945.49,150,0.084,0.020,0.025,0.130
24,4.216,3.131,4.543,-0.022,-0.162,-0.083,22.744,59,47,44,0.00,0.00,0.00,8.20,none,0,0,0,0.43,-0.00,-0.16,0.00,1.25,1751308945.62,150,0.075,0.021,0.024,0.122
25,4.286,3.062,4.621,0.070,-0.069,0.078,23.761,49,57,44,0.00,0.00,0.00,8.00,none,0,0,0,0.58,-0.00,-0.10,-0.00,1.34,1751308945.74,150,0.076,0.024,0.022,0.125
26,4.420,3.045,4.766,0.134,-0.017,0.145,32.800,52,43,55,9.29,4.14,0.00,8.26,none,0,0,1,0.74,-0.00,-0.06,0.00,1.43,1751308945.87,150,0.073,0.021,0.025,0.121
27,5.060,3.385,5.434,0.640,0.340,0.668,35.605,54,40,56,9.53,4.27,0.00,7.96,none,0,0,1,0.92,-0.00,-0.03,0.00,1.51,1751308945.99,150,0.077,0.022,0.026,0.126
28,5.794,3.766,6.204,0.734,0.380,0.770,42.843,55,42,53,9.74,4.37,0.00,8.42,none,0,0,1,1.10,-0.00,-0.01,0.00,1.58,1751308946.11,150,0.070,0.024,0.022,0.119
29,5.797,3.465,6.180,0.003,-0.301,-0.024,44.116,63,28,59,9.94,4.47,0.00,7.87,none,0,0,1,1.31,-0.00,0.01,0.00,1.65,1751308946.23,150,0.079,0.023,0.026,0.127
30,5.993,3.499,6.244,0.196,0.034,0.063,55.200,66,25,59,10.09,4.55,0.00,8.68,none,0,0,1,1.50,-0.00,0.02,-0.00,1.70,1751308946.36,150,0.071,0.021,0.023,0.115
31,6.315,3.487,6.622,0.322,-0.012,0.378,56.787,72,7,68,10.23,4.61,0.00,8.62,none,0,0,1,1.70,-0.00,0.03,-0.00,1.74,1751308946.47,147,0.068,0.023,0.023,0.116
32,6.483,3.408,6.838,0.168,-0.079,0.216,57.990,75,5,67,10.34,4.67,0.00,8.68,none,0,0,1,1.90,-0.00,0.03,-0.00,1.78,1751308946.59,147,0.071,0.021,0.022,0.115
