frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,5.03,2.01,0.00,0.94,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751309375.15,0,0.076,0.018,0.023,1.059
19,0.020,0.018,0.018,0.020,0.018,0.018,0.233,44,56,50,0.00,0.00,0.00,18.14,none,0,0,0,0.00,-0.00,-0.85,-0.00,0.12,1751309375.16,150,0.076,0.023,0.024,0.055
20,1.925,1.483,2.008,1.904,1.464,1.990,39.398,45,57,47,0.00,0.00,0.00,8.51,none,0,0,0,0.00,-0.00,-0.79,0.00,0.74,1751309375.21,149,0.082,0.020,0.026,0.117
21,3.743,3.923,4.034,1.818,2.441,2.026,87.147,43,52,55,0.00,0.00,0.00,7.05,none,0,0,0,0.02,-0.00,-0.64,0.00,1.24,1751309375.33,150,0.093,0.020,0.027,0.142
22,3.500,3.555,3.769,-0.243,-0.369,-0.265,46.822,34,68,46,0.00,0.00,0.00,7.97,none,0,0,0,0.06,-0.00,-0.50,0.00,1.17,1751309375.47,148,0.078,0.020,0.024,0.125
23,4.076,3.788,4.128,0.576,0.233,0.359,28.460,53,54,43,0.00,0.00,0.00,6.56,none,0,0,0,0.15,-0.00,-0.35,0.00,1.12,1751309375.60,150,0.102,0.023,0.025,0.152
24,4.151,3.598,4.210,0.076,-0.189,0.082,13.871,59,52,39,0.00,0.00,0.00,7.77,none,0,0,0,0.26,-0.00,-0.25,-0.00,1.16,1751309375.75,150,0.086,0.020,0.023,0.129
25,4.111,3.364,4.147,-0.041,-0.234,-0.063,20.087,46,52,52,0.00,0.00,0.00,7.03,none,0,0,0,0.41,-0.00,-0.17,-0.00,1.24,1751309375.88,150,0.094,0.023,0.023,0.142
26,4.302,3.304,4.317,0.192,-0.060,0.170,37.896,51,51,48,0.00,0.00,0.00,8.24,none,0,0,0,0.55,-0.00,-0.11,-0.00,1.33,1751309376.02,150,0.074,0.022,0.026,0.121
27,4.432,3.270,4.443,0.129,-0.034,0.126,29.402,61,44,44,0.00,0.00,0.00,7.74,none,0,0,0,0.72,-0.00,-0.06,-0.00,1.42,1751309376.15,149,0.075,0.024,0.025,0.129
