frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,0.94,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751311618.96,0,0.071,0.019,0.022,1.058
19,0.012,0.011,0.012,0.012,0.011,0.012,0.151,44,56,50,0.00,0.00,0.00,18.51,none,0,0,0,0.00,0.00,-0.85,0.00,0.01,1751311618.97,150,0.076,0.020,0.021,0.054
20,0.027,0.023,0.026,0.014,0.012,0.015,0.382,45,56,49,0.00,0.00,0.00,15.50,none,0,0,0,0.00,-0.00,-0.82,0.00,0.48,1751311619.02,150,0.076,0.019,0.022,0.065
21,2.194,2.047,1.992,2.167,2.024,1.966,81.242,46,55,49,0.00,0.00,0.00,7.33,none,0,0,0,0.01,-0.00,-0.71,0.00,1.13,1751311619.09,150,0.086,0.026,0.022,0.136
22,3.126,2.963,3.265,0.932,0.916,1.273,74.914,29,65,56,0.00,0.00,0.00,8.48,none,0,0,0,0.04,-0.00,-0.57,0.00,1.22,1751311619.22,150,0.075,0.021,0.021,0.118
23,3.488,3.141,3.401,0.362,0.178,0.135,39.826,40,61,41,0.00,0.00,0.00,7.19,none,0,0,0,0.10,-0.00,-0.42,0.00,1.14,1751311619.34,142,0.089,0.022,0.025,0.139
24,3.873,3.314,3.798,0.385,0.173,0.397,19.872,44,55,50,0.00,0.00,0.00,7.55,none,0,0,0,0.19,-0.00,-0.31,-0.00,1.13,1751311619.48,149,0.086,0.023,0.022,0.132
25,3.816,3.075,3.751,-0.057,-0.239,-0.047,17.109,52,54,44,0.00,0.00,0.00,7.31,none,0,0,0,0.32,-0.00,-0.21,-0.00,1.19,1751311619.61,150,0.092,0.020,0.021,0.137
26,3.863,2.972,3.828,0.047,-0.103,0.077,23.209,54,51,45,0.00,0.00,0.00,8.13,none,0,0,0,0.45,-0.00,-0.15,-0.00,1.27,1751311619.75,150,0.078,0.020,0.024,0.123
27,4.022,2.950,3.980,0.158,-0.022,0.152,30.119,54,47,49,0.00,0.00,0.00,8.72,none,0,0,0,0.59,-0.00,-0.10,-0.00,1.35,1751311619.87,150,0.068,0.020,0.025,0.115
