frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,1.00,blind_forward,1,0,0,0.00,0.00,-0.84,0.00,0.01,1751311753.17,0,0.084,0.018,0.021,0.999
18,0.022,0.014,0.020,0.022,0.014,0.020,0.644,43,56,51,0.00,0.00,0.00,14.27,none,0,0,0,0.00,0.00,-0.84,0.00,0.26,1751311753.18,150,0.075,0.020,0.025,0.070
19,2.290,1.681,2.447,2.268,1.667,2.427,61.015,40,59,51,0.00,0.00,0.00,7.55,none,0,0,0,0.01,0.00,-0.76,0.00,0.89,1751311753.25,150,0.087,0.021,0.023,0.132
20,3.451,2.291,3.908,1.161,0.611,1.461,82.628,37,59,54,0.00,0.00,0.00,8.09,none,0,0,0,0.02,0.00,-0.63,0.00,1.24,1751311753.38,150,0.078,0.020,0.024,0.124
21,3.882,2.783,4.211,0.431,0.492,0.303,41.128,30,69,47,0.00,0.00,0.00,8.52,none,0,0,0,0.07,0.00,-0.49,0.00,1.17,1751311753.50,146,0.075,0.021,0.023,0.117
22,4.326,3.281,4.639,0.444,0.497,0.428,30.095,48,55,47,0.00,0.00,0.00,7.26,none,0,0,0,0.15,0.00,-0.36,0.00,1.12,1751311753.62,150,0.090,0.020,0.024,0.138
23,4.319,3.138,4.596,-0.007,-0.143,-0.044,14.755,48,51,51,0.00,0.00,0.00,8.43,none,0,0,0,0.24,0.00,-0.26,0.00,1.15,1751311753.76,150,0.073,0.021,0.023,0.119
24,4.199,2.937,4.427,-0.120,-0.201,-0.169,16.798,51,54,45,0.00,0.00,0.00,7.19,none,0,0,0,0.38,0.00,-0.18,0.00,1.22,1751311753.88,150,0.095,0.020,0.022,0.139
25,4.307,2.903,4.521,0.108,-0.035,0.095,26.056,55,48,47,0.00,0.00,0.00,7.99,none,0,0,0,0.53,0.00,-0.12,0.00,1.31,1751311754.02,150,0.082,0.021,0.021,0.125
26,4.456,2.899,4.630,0.150,-0.003,0.108,26.232,45,53,52,0.00,0.00,0.00,7.27,none,0,0,0,0.71,0.00,-0.07,0.00,1.41,1751311754.14,150,0.093,0.020,0.023,0.138
27,5.152,3.253,5.345,0.696,0.354,0.715,37.010,47,48,55,11.98,4.24,0.00,8.01,none,0,0,1,0.88,0.00,-0.03,0.00,1.50,1751311754.28,150,0.081,0.020,0.022,0.125
28,5.845,3.625,6.077,0.693,0.372,0.732,41.045,59,39,52,12.28,4.35,0.00,8.07,none,0,0,1,1.08,0.00,-0.01,0.00,1.57,1751311754.40,150,0.076,0.022,0.024,0.124
