frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
17,1751213877.93,0,0.000,0.000,0.000,0.000,-0.88,-0.00,-1.56,0.03,0.10,blind_forward,1,0,0,0.00,0.00,0.00,0.99,0.088,0.021,0.022,1.012
18,1751213877.94,150,2.913,2.543,2.912,19.136,-0.87,-0.00,-1.56,0.03,0.13,none,0,0,0,0.00,0.00,0.00,19.19,0.121,0.023,0.028,0.052
19,1751213878.00,150,2.104,1.887,2.106,2.626,-0.83,-0.00,-1.58,0.02,0.48,none,0,0,0,0.00,0.00,0.00,6.52,0.111,0.022,0.026,0.153
20,1751213878.15,150,3.056,2.838,2.958,40.232,-0.76,0.00,-1.61,0.01,0.69,none,0,0,0,0.00,0.00,0.00,7.24,0.090,0.020,0.025,0.138
21,1751213878.29,149,4.046,3.362,4.064,23.506,-0.63,0.00,-1.64,-0.00,0.91,none,0,0,0,0.00,0.00,0.00,6.49,0.106,0.020,0.025,0.154
22,1751213878.44,150,3.842,3.642,3.906,28.193,-0.49,0.00,-1.65,-0.01,1.10,none,0,0,0,0.00,0.00,0.00,6.99,0.090,0.024,0.029,0.143
23,1751213878.58,150,3.698,3.953,3.887,36.998,-0.30,0.00,-1.66,-0.01,1.28,none,0,0,0,0.00,0.00,0.00,6.13,0.115,0.021,0.025,0.163
24,1751213878.75,150,3.964,4.199,4.189,43.988,-0.08,0.00,-1.67,-0.00,1.42,none,0,0,0,0.00,0.00,0.00,6.29,0.111,0.020,0.025,0.159
25,1751213878.91,148,4.397,4.264,4.558,48.868,0.13,0.00,-1.67,0.00,1.53,none,0,0,0,0.00,0.00,0.00,6.94,0.095,0.023,0.026,0.144
26,1751213879.05,150,4.871,4.337,4.930,49.421,0.36,0.00,-1.67,0.00,1.61,none,0,0,0,8.23,4.42,0.00,6.81,0.095,0.023,0.027,0.147
27,1751213879.20,150,5.774,4.932,5.738,45.479,0.59,0.00,-1.67,0.00,1.68,none,0,0,0,8.36,4.52,0.00,7.07,0.092,0.022,0.027,0.142
28,1751213879.34,150,6.065,5.076,5.974,37.323,0.84,0.00,-1.67,0.00,1.74,none,0,0,0,8.48,4.61,0.00,6.91,0.097,0.021,0.024,0.145
29,1751213879.48,150,6.862,5.706,6.670,36.978,1.12,0.00,-1.67,0.00,1.79,none,0,0,0,8.58,4.68,0.00,6.31,0.110,0.020,0.028,0.158
30,1751213879.64,150,7.096,5.832,6.737,34.598,1.37,0.00,-1.66,-0.00,1.82,none,0,0,0,8.65,4.73,0.00,7.21,0.089,0.020,0.027,0.139
31,1751213879.78,147,7.083,6.046,6.541,36.131,1.62,0.00,-1.66,-0.00,1.85,none,0,0,0,8.70,4.78,0.00,7.41,0.086,0.021,0.027,0.135
32,1751213879.91,147,7.489,6.275,6.846,30.124,1.91,0.00,-1.66,-0.00,1.87,none,0,0,0,8.74,4.81,0.00,6.23,0.113,0.021,0.027,0.160
33,1751213880.08,148,8.025,6.682,7.207,37.483,2.16,0.00,-1.66,-0.00,1.71,resume_reinforce,0,0,0,8.43,4.57,0.00,7.28,0.087,0.020,0.026,0.137
34,1751213880.21,150,8.242,7.159,7.396,45.371,2.39,0.00,-1.66,-0.00,1.59,none,0,0,0,8.18,4.39,0.00,7.20,0.093,0.020,0.024,0.139
35,1751213880.35,149,7.950,6.680,7.143,28.781,2.61,0.00,-1.65,-0.00,1.57,none,0,0,0,8.14,4.35,0.00,6.85,0.097,0.021,0.026,0.146
36,1751213880.50,150,7.936,6.820,7.294,36.002,2.83,0.00,-1.63,0.00,1.60,none,0,0,0,8.20,4.40,0.00,7.49,0.086,0.021,0.025,0.133
37,1751213880.63,149,7.882,6.765,7.340,48.947,3.08,0.00,-1.63,0.00,1.65,none,0,0,0,8.31,4.48,0.00,6.47,0.104,0.023,0.026,0.155
38,1751213880.79,149,7.970,6.113,7.416,42.762,3.32,0.00,-1.62,0.00,1.71,none,0,0,0,8.41,4.56,0.00,6.88,0.095,0.022,0.027,0.145
39,1751213880.93,150,8.075,5.425,7.482,44.474,3.58,0.00,-1.61,0.00,1.75,none,0,0,0,8.51,4.63,0.00,6.78,0.096,0.022,0.027,0.148
40,1751213881.08,150,8.239,4.730,7.653,46.236,3.85,0.00,-1.61,0.00,1.80,none,0,0,0,8.60,4.70,0.00,6.39,0.105,0.024,0.023,0.156
41,1751213881.24,150,8.354,4.241,7.833,45.461,4.12,0.00,-1.60,-0.00,1.83,none,0,0,0,8.66,4.75,0.00,6.90,0.094,0.023,0.028,0.145
42,1751213881.38,145,8.598,3.625,8.154,47.214,4.39,0.00,-1.60,-0.00,1.86,none,0,0,0,8.72,4.79,0.00,6.78,0.096,0.024,0.025,0.147
43,1751213881.53,149,8.884,2.775,8.468,53.541,4.66,0.00,-1.60,-0.00,1.88,none,0,0,0,8.76,4.82,0.00,6.91,0.092,0.024,0.025,0.145
44,1751213881.67,149,9.329,1.761,8.773,58.311,4.92,0.00,-1.59,-0.00,1.90,none,0,0,1,8.80,4.85,0.00,6.96,0.095,0.022,0.025,0.144
45,1751213881.82,148,10.332,1.860,9.584,90.637,5.20,0.00,-1.59,0.00,1.92,none,0,0,1,8.83,4.87,0.00,7.00,0.094,0.023,0.025,0.143
46,1751213881.96,148,11.207,1.272,10.456,164.387,5.46,0.00,-1.59,0.00,1.93,none,0,0,1,8.85,4.89,0.00,7.28,0.088,0.021,0.025,0.137
47,1751213882.10,150,11.907,1.702,11.298,122.023,5.74,0.00,-1.58,0.00,1.94,none,0,0,1,8.87,4.90,0.00,6.98,0.092,0.023,0.024,0.143
48,1751213882.24,149,12.162,1.897,12.104,113.973,6.00,0.00,-1.58,0.00,1.94,resume_reinforce,0,0,0,8.89,4.92,0.00,7.34,0.088,0.019,0.027,0.136
49,1751213882.38,142,12.398,2.148,12.865,84.360,6.28,0.00,-1.58,0.00,1.95,none,0,0,0,8.90,4.93,0.00,6.75,0.095,0.023,0.027,0.148
50,1751213882.52,148,12.526,2.650,13.223,74.001,6.55,0.00,-1.58,-0.00,1.96,none,0,0,0,8.91,4.93,0.00,7.36,0.089,0.020,0.026,0.136
51,1751213882.66,147,12.902,2.851,13.883,75.084,6.84,0.00,-1.58,-0.00,1.96,none,0,0,1,8.92,4.94,0.00,6.84,0.100,0.021,0.025,0.146
52,1751213882.81,148,13.210,3.165,14.667,99.492,7.13,0.00,-1.58,-0.00,1.96,none,0,0,1,8.93,4.94,0.00,6.69,0.100,0.021,0.026,0.150
53,1751213882.96,145,13.171,3.486,15.122,95.536,7.38,0.00,-1.58,-0.00,1.97,none,0,0,1,8.93,4.95,0.00,7.57,0.085,0.019,0.026,0.132
54,1751213883.09,144,13.069,4.223,15.287,72.391,7.67,0.00,-1.57,-0.00,1.97,none,0,0,1,8.94,4.95,0.00,6.96,0.091,0.024,0.027,0.144
55,1751213883.23,149,12.923,4.694,15.202,76.977,7.94,0.00,-1.57,-0.00,1.97,none,0,0,1,8.94,4.95,0.00,7.27,0.092,0.019,0.026,0.137
56,1751213883.37,146,12.805,4.838,14.552,92.464,8.21,0.00,-1.57,-0.00,1.97,none,0,0,1,8.94,4.96,0.00,7.27,0.090,0.020,0.026,0.138
