frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
17,1751198461.12,0,0.000,0.000,0.000,0.000,0.00,0.00,-0.84,0.00,0.01,blind_forward,1,0,0,0.00,0.00,0.00,1.00,0.074,0.021,0.020,1.001
18,1751198461.13,150,0.007,0.007,0.011,0.132,0.00,-0.00,-0.84,0.00,0.04,none,0,0,0,20.36,2.05,0.00,19.01,0.075,0.020,0.023,0.053
19,1751198461.18,150,3.284,4.832,2.757,78.881,0.01,-0.00,-0.85,0.00,0.21,none,0,0,0,22.08,2.31,0.00,7.70,0.088,0.019,0.022,0.130
20,1751198461.31,146,9.010,7.528,4.234,164.219,0.04,-0.00,-0.87,-0.00,0.42,none,0,0,0,24.19,2.63,0.00,8.63,0.067,0.022,0.024,0.116
21,1751198461.42,146,8.871,7.780,5.024,64.084,0.09,-0.00,-0.89,-0.00,0.60,none,0,0,0,25.97,2.90,0.00,8.99,0.068,0.020,0.020,0.111
22,1751198461.54,149,7.681,6.646,4.764,13.396,0.18,-0.00,-0.92,-0.00,0.80,dodge_left,0,1,1,27.94,3.19,0.00,7.56,0.093,0.019,0.020,0.132
23,1751198461.67,147,7.608,6.589,5.473,32.895,0.29,-0.00,-0.92,-0.25,0.88,dodge_left,0,1,1,28.73,3.31,0.00,7.25,0.083,0.020,0.022,0.138
24,1751198461.81,138,9.500,8.157,6.955,198.487,0.40,-0.01,-0.92,-0.49,0.86,dodge_right,0,1,1,28.62,3.29,0.00,8.59,0.080,0.022,0.024,0.116
25,1751198461.92,145,9.825,8.830,7.473,95.294,0.50,-0.03,-0.92,-0.53,0.79,dodge_right,0,1,0,27.94,3.19,0.00,7.89,0.084,0.021,0.020,0.127
26,1751198462.05,148,9.676,9.217,8.200,111.318,0.59,-0.05,-0.93,-0.51,0.69,dodge_right,0,1,0,26.87,3.03,0.00,7.97,0.086,0.018,0.020,0.125
27,1751198462.17,147,10.527,9.862,9.313,66.347,0.65,-0.05,-0.94,-0.52,0.60,dodge_right,0,1,0,26.02,2.90,0.00,9.30,0.066,0.019,0.021,0.108
28,1751198462.28,149,10.810,10.093,10.077,27.487,0.72,-0.04,-0.95,-0.56,0.53,dodge_right,0,1,0,25.35,2.80,0.00,7.91,0.081,0.021,0.022,0.126
29,1751198462.41,150,10.213,8.864,9.734,17.786,0.78,-0.02,-0.96,-0.61,0.51,dodge_right,0,1,0,25.09,2.76,0.00,8.67,0.071,0.019,0.023,0.115
30,1751198462.52,150,8.150,7.624,9.081,16.453,0.82,0.02,-0.97,-0.65,0.52,dodge_left,0,1,0,25.19,2.78,0.00,8.83,0.072,0.019,0.021,0.113
31,1751198462.64,150,7.965,7.154,8.426,17.592,0.86,0.06,-0.97,-0.66,0.50,dodge_left,0,1,0,24.99,2.75,0.00,8.51,0.074,0.021,0.024,0.118
32,1751198462.75,144,8.604,8.057,9.363,129.011,0.90,0.10,-0.97,-0.64,0.41,dodge_left,0,1,0,24.08,2.61,0.00,8.68,0.071,0.021,0.021,0.115
33,1751198462.87,148,8.716,8.306,9.403,91.143,0.92,0.13,-0.99,-0.61,0.31,dodge_left,0,1,0,23.09,2.46,0.00,9.01,0.068,0.019,0.022,0.111
34,1751198462.98,150,7.025,6.788,8.195,28.565,0.95,0.14,-1.00,-0.57,0.22,dodge_left,0,1,0,22.26,2.34,0.00,8.25,0.073,0.021,0.024,0.121
35,1751198463.10,150,6.087,5.534,7.116,7.299,0.97,0.13,-1.02,-0.54,0.22,dodge_left,0,1,0,22.18,2.33,0.00,8.76,0.071,0.019,0.023,0.114
36,1751198463.22,150,5.348,4.397,5.987,12.757,0.98,0.11,-1.03,-0.52,0.28,dodge_left,0,1,0,22.84,2.43,0.00,8.13,0.077,0.022,0.021,0.123
37,1751198463.34,149,4.650,3.986,5.405,17.617,1.00,0.08,-1.04,-0.50,0.37,none,0,0,0,23.72,2.56,0.00,8.56,0.075,0.020,0.021,0.117
38,1751198463.46,150,4.579,4.050,5.252,18.982,1.01,0.03,-1.04,-0.49,0.46,none,0,0,0,24.63,2.69,0.00,8.18,0.077,0.020,0.023,0.122
39,1751198463.58,149,4.496,4.197,5.451,19.034,1.02,-0.03,-1.05,-0.48,0.54,none,0,0,0,25.43,2.81,0.00,8.26,0.079,0.019,0.021,0.121
40,1751198463.70,149,4.320,4.296,5.938,22.520,1.03,-0.10,-1.05,-0.47,0.61,dodge_left,0,1,1,26.10,2.91,0.00,8.68,0.072,0.020,0.021,0.115
41,1751198463.82,150,4.069,4.274,6.415,23.261,1.03,-0.17,-1.05,-0.47,0.67,dodge_left,0,1,1,26.70,3.01,0.00,8.47,0.072,0.020,0.024,0.118
42,1751198463.93,146,3.728,3.723,5.931,119.483,1.04,-0.25,-1.05,-0.47,0.72,dodge_left,0,1,1,27.18,3.08,0.00,8.61,0.070,0.018,0.022,0.116
43,1751198464.05,147,3.390,3.352,5.621,153.457,1.04,-0.35,-1.05,-0.46,0.77,dodge_left,0,1,1,27.69,3.15,0.00,7.42,0.092,0.021,0.023,0.135
44,1751198464.18,149,3.411,3.558,5.895,38.587,1.05,-0.45,-1.05,-0.46,0.81,dodge_left,0,1,1,28.06,3.21,0.00,7.96,0.084,0.019,0.021,0.126
45,1751198464.31,147,3.706,3.972,6.559,41.017,1.05,-0.56,-1.05,-0.46,0.84,dodge_left,0,1,1,28.36,3.25,0.00,6.85,0.083,0.018,0.024,0.146
46,1751198464.46,133,4.232,4.415,6.982,44.993,1.05,-0.66,-1.05,-0.46,0.86,dodge_left,0,1,1,28.60,3.29,0.00,10.42,0.075,0.019,0.020,0.096
47,1751198464.55,148,4.661,4.729,7.144,45.300,1.05,-0.76,-1.05,-0.46,0.88,dodge_left,0,1,1,28.80,3.32,0.00,8.37,0.074,0.022,0.022,0.120
48,1751198464.67,150,5.042,4.969,7.214,41.596,1.05,-0.88,-1.05,-0.46,0.90,dodge_left,0,1,1,29.00,3.35,0.00,7.55,0.085,0.023,0.022,0.132
49,1751198464.80,148,5.386,5.255,7.317,56.425,1.05,-0.98,-1.05,-0.46,0.91,dodge_left,0,1,1,29.15,3.37,0.00,8.66,0.075,0.017,0.021,0.116
50,1751198464.92,148,5.573,5.442,7.329,54.286,1.05,-1.08,-1.05,-0.46,0.93,dodge_left,0,1,0,29.27,3.39,0.00,7.99,0.071,0.020,0.022,0.125
51,1751198465.04,150,5.804,5.659,7.377,52.210,1.06,-1.19,-1.05,-0.46,0.94,dodge_left,0,1,0,29.37,3.41,0.00,9.96,0.071,0.018,0.021,0.100
52,1751198465.14,146,5.872,5.799,7.245,55.228,1.06,-1.29,-1.05,-0.46,0.94,dodge_left,0,1,0,29.44,3.42,0.00,9.13,0.068,0.017,0.023,0.110
53,1751198465.25,149,5.991,5.883,7.233,41.939,1.06,-1.41,-1.05,-0.46,0.95,dodge_left,0,1,0,29.52,3.43,0.00,7.64,0.089,0.019,0.020,0.131
54,1751198465.39,148,6.132,6.000,7.185,55.663,1.06,-1.54,-1.05,-0.46,0.96,dodge_left,0,1,0,29.58,3.44,0.00,7.52,0.093,0.019,0.021,0.133
55,1751198465.52,142,6.263,6.137,7.200,58.718,1.05,-1.66,-1.05,-0.46,0.96,dodge_left,0,1,0,29.64,3.45,0.00,8.11,0.079,0.021,0.021,0.123
56,1751198465.64,147,6.377,6.320,7.178,60.760,1.05,-1.77,-1.05,-0.46,0.97,dodge_left,0,1,0,29.69,3.45,0.00,8.56,0.074,0.019,0.022,0.117
57,1751198465.76,150,6.432,6.500,7.160,70.546,1.05,-1.88,-1.05,-0.46,0.97,dodge_left,0,1,0,29.72,3.46,0.00,8.95,0.069,0.019,0.021,0.112
58,1751198465.87,149,6.482,6.659,7.147,58.992,1.05,-1.99,-1.04,-0.46,0.98,dodge_left,0,1,0,29.76,3.46,0.00,8.74,0.073,0.021,0.020,0.114
59,1751198465.98,147,6.386,6.718,7.080,53.769,1.05,-2.12,-1.04,-0.46,0.98,dodge_left,0,1,0,29.77,3.47,0.00,7.77,0.086,0.020,0.022,0.129
60,1751198466.11,150,6.573,6.860,7.158,57.513,1.05,-2.24,-1.04,-0.46,0.98,dodge_left,0,1,0,29.79,3.47,0.00,7.81,0.084,0.020,0.022,0.128
61,1751198466.24,150,6.663,6.979,7.192,64.138,1.05,-2.35,-1.04,-0.46,0.98,dodge_left,0,1,0,29.81,3.47,0.00,8.94,0.070,0.018,0.021,0.112
62,1751198466.35,147,6.789,7.061,7.171,59.519,1.05,-2.46,-1.04,-0.46,0.98,none,0,0,0,29.82,3.47,0.00,9.10,0.071,0.017,0.021,0.110
63,1751198466.46,145,6.833,7.126,7.148,53.698,1.05,-2.58,-1.04,-0.46,0.98,none,0,0,0,29.84,3.48,0.00,7.97,0.081,0.018,0.024,0.125
64,1751198466.59,149,6.797,7.132,7.121,60.747,1.05,-2.69,-1.04,-0.46,0.99,none,0,0,0,29.85,3.48,0.00,8.92,0.072,0.020,0.021,0.112
