frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,0.95,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751311181.40,0,0.075,0.019,0.022,1.057
19,0.023,0.015,0.022,0.023,0.015,0.022,0.623,43,56,51,0.00,0.00,0.00,17.89,none,0,0,0,0.00,0.00,-0.84,-0.00,0.09,1751311181.40,150,0.080,0.018,0.026,0.056
20,1.735,1.617,1.736,1.712,1.602,1.714,34.334,41,59,50,0.00,0.00,0.00,8.62,none,0,0,0,0.00,0.00,-0.79,-0.00,0.76,1751311181.46,150,0.093,0.022,0.024,0.116
21,4.169,3.865,4.261,2.434,2.248,2.525,86.422,45,44,61,0.00,0.00,0.00,7.57,none,0,0,0,0.02,0.00,-0.65,0.00,1.24,1751311181.58,150,0.087,0.020,0.023,0.132
22,3.778,3.368,3.974,-0.390,-0.496,-0.286,46.605,37,60,51,0.00,0.00,0.00,8.22,none,0,0,0,0.06,0.00,-0.51,0.00,1.18,1751311181.71,148,0.073,0.022,0.025,0.122
23,4.155,3.650,4.329,0.377,0.282,0.354,36.275,48,54,43,0.00,0.00,0.00,8.16,none,0,0,0,0.13,0.00,-0.38,0.00,1.12,1751311181.83,145,0.073,0.023,0.023,0.122
24,4.165,3.497,4.317,0.010,-0.153,-0.012,12.610,45,60,45,0.00,0.00,0.00,8.21,none,0,0,0,0.22,0.00,-0.29,0.00,1.14,1751311181.95,150,0.077,0.021,0.021,0.122
25,4.033,3.225,4.166,-0.132,-0.271,-0.151,19.652,43,62,45,0.00,0.00,0.00,8.79,none,0,0,0,0.33,0.00,-0.21,0.00,1.19,1751311182.07,150,0.071,0.019,0.023,0.114
26,4.038,3.095,4.161,0.005,-0.131,-0.006,21.609,51,54,45,0.00,0.00,0.00,8.51,none,0,0,0,0.45,0.00,-0.15,0.00,1.27,1751311182.19,150,0.074,0.019,0.022,0.118
27,4.107,3.057,4.234,0.068,-0.038,0.074,20.369,52,50,48,0.00,0.00,0.00,6.92,none,0,0,0,0.64,0.00,-0.09,0.00,1.37,1751311182.31,150,0.099,0.020,0.025,0.145
28,4.822,3.433,4.969,0.716,0.377,0.735,39.927,54,41,55,11.82,4.18,0.00,8.30,none,0,0,1,0.80,0.00,-0.05,0.00,1.46,1751311182.45,150,0.073,0.020,0.023,0.120
29,5.456,3.757,5.626,0.633,0.324,0.657,31.468,56,38,56,12.18,4.32,0.00,7.05,none,0,0,1,1.01,0.00,-0.02,0.00,1.55,1751311182.57,150,0.096,0.022,0.022,0.142
30,5.795,3.744,5.967,0.339,-0.014,0.341,52.744,62,31,57,12.45,4.42,0.00,8.46,none,0,0,1,1.19,0.00,0.00,0.00,1.61,1751311182.71,150,0.074,0.018,0.025,0.118
31,5.455,3.106,5.601,-0.340,-0.637,-0.366,47.315,67,25,58,12.69,4.51,0.00,8.13,none,0,0,1,1.40,0.00,0.02,0.00,1.67,1751311182.83,150,0.076,0.020,0.025,0.123
32,6.136,3.446,6.217,0.681,0.340,0.617,52.797,73,13,62,12.88,4.58,0.00,8.25,none,0,0,1,1.60,0.00,0.03,-0.00,1.72,1751311182.95,148,0.076,0.021,0.021,0.121
33,6.347,3.465,6.545,0.211,0.018,0.328,58.617,76,7,67,13.05,4.64,0.00,8.29,none,0,0,1,1.81,0.00,0.03,-0.00,1.76,1751311183.07,150,0.074,0.023,0.023,0.121
34,6.673,3.850,6.983,0.327,0.386,0.437,55.171,77,3,66,13.19,4.70,0.00,8.32,none,0,0,1,2.02,0.00,0.04,-0.00,1.80,1751311183.20,146,0.073,0.021,0.024,0.120
35,7.176,4.396,7.461,0.503,0.546,0.479,55.702,74,2,74,13.31,4.74,0.00,8.31,none,0,0,1,2.24,0.00,0.04,-0.00,1.83,1751311183.32,150,0.074,0.020,0.024,0.120
36,7.649,5.043,7.915,0.473,0.647,0.454,64.726,76,1,72,13.35,4.76,0.00,8.88,resume_reinforce,0,0,1,2.44,0.00,0.04,-0.00,1.84,1751311183.44,149,0.069,0.020,0.021,0.113
37,8.001,6.100,8.250,0.352,1.057,0.334,53.071,74,2,72,13.14,4.68,0.00,8.57,none,0,0,1,2.65,0.00,0.03,-0.00,1.79,1751311183.55,148,0.074,0.020,0.021,0.117
38,8.017,6.665,8.217,0.016,0.565,-0.033,38.828,81,1,68,13.10,4.66,0.00,7.75,none,0,0,1,2.88,0.00,0.02,-0.00,1.78,1751311183.67,150,0.080,0.022,0.024,0.129
39,8.370,7.093,8.340,0.353,0.428,0.123,51.243,70,1,74,13.15,4.68,0.00,8.04,none,0,0,1,3.10,-0.00,0.02,-0.00,1.79,1751311183.79,145,0.080,0.020,0.024,0.124
40,8.371,7.375,8.185,0.001,0.282,-0.154,56.282,78,1,71,13.23,4.71,0.00,8.30,none,0,0,1,3.32,-0.00,0.02,-0.00,1.81,1751311183.92,150,0.076,0.021,0.022,0.120
41,8.473,8.150,8.194,0.102,0.775,0.009,53.999,71,1,78,13.34,4.75,0.00,6.58,none,0,0,1,3.59,-0.00,0.02,-0.00,1.83,1751311184.04,150,0.101,0.022,0.025,0.152
42,8.478,8.615,8.150,0.005,0.465,-0.044,55.214,74,4,70,13.42,4.78,0.00,8.90,none,0,0,1,3.80,-0.00,0.02,-0.00,1.85,1751311184.19,148,0.071,0.021,0.020,0.112
43,8.614,8.098,8.198,0.136,-0.517,0.048,54.075,75,3,72,13.50,4.81,0.00,7.40,none,0,0,1,4.05,-0.00,0.02,-0.00,1.88,1751311184.30,150,0.088,0.021,0.024,0.135
44,8.838,7.512,8.320,0.224,-0.586,0.122,60.437,72,3,75,13.56,4.84,0.00,8.79,none,0,0,1,4.27,-0.00,0.02,-0.00,1.89,1751311184.44,150,0.070,0.020,0.022,0.114
