frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
18,1751126535.62,150,0.032,0.023,0.036,0.256,0.00,0.00,-0.85,0.00,0.01,none,1,0,0,20.09,2.01,0.00,0.93,0.066,0.020,0.023,1.079
19,1751126535.65,150,0.044,0.039,0.059,0.579,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.12,2.02,0.00,4.38,0.076,0.019,0.020,0.228
20,1751126535.88,150,0.055,0.051,0.076,0.832,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.27,0.069,0.019,0.021,0.234
21,1751126536.11,150,0.063,0.057,0.084,0.843,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.54,0.064,0.018,0.023,0.220
22,1751126536.33,150,0.064,0.058,0.088,0.772,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.12,2.02,0.00,4.51,0.065,0.018,0.025,0.222
23,1751126536.55,150,0.067,0.056,0.089,0.672,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.10,2.02,0.00,4.24,0.072,0.019,0.025,0.236
24,1751126536.79,150,0.063,0.055,0.089,0.581,0.00,0.00,-0.86,0.00,0.01,resume_reinforce,0,0,1,20.09,2.01,0.00,4.45,0.068,0.020,0.022,0.225
30,1751126538.22,144,3.798,3.445,4.455,68.840,1.36,-0.00,-0.99,0.00,1.65,none,0,0,0,36.49,4.47,0.00,0.69,0.085,0.018,0.023,1.452
31,1751126538.47,144,4.389,4.073,5.212,52.779,1.76,-0.00,-0.98,0.00,1.75,none,0,0,0,37.46,4.62,0.00,4.23,0.073,0.021,0.022,0.237
32,1751126538.70,149,5.027,4.690,5.973,54.514,2.22,-0.00,-0.98,0.00,1.82,none,0,0,0,38.20,4.73,0.00,3.87,0.084,0.021,0.024,0.258
33,1751126538.96,150,5.728,5.257,6.746,62.925,2.68,-0.00,-0.98,-0.00,1.87,none,0,0,0,38.68,4.80,0.00,4.01,0.075,0.023,0.024,0.249
34,1751126539.21,149,6.413,5.897,7.514,65.731,3.17,-0.00,-0.98,-0.00,1.90,resume_reinforce,0,0,0,39.04,4.86,0.00,3.83,0.081,0.022,0.024,0.261
