frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,0.94,blind_forward,1,0,0,0.00,0.00,-0.85,0.00,0.01,1751311230.82,0,0.091,0.020,0.024,1.060
19,0.032,0.025,0.030,0.032,0.025,0.030,0.569,42,56,52,0.00,0.00,0.00,10.49,none,0,0,0,0.00,-0.00,-0.83,0.00,0.38,1751311230.83,150,0.097,0.020,0.022,0.095
20,2.047,0.887,1.885,2.015,0.862,1.855,67.359,45,58,47,0.00,0.00,0.00,8.23,none,0,0,0,0.01,-0.00,-0.75,0.00,0.98,1751311230.93,150,0.076,0.019,0.024,0.121
21,3.693,1.812,3.535,1.647,0.925,1.650,65.326,30,66,54,0.00,0.00,0.00,6.68,none,0,0,0,0.04,-0.00,-0.58,0.00,1.22,1751311231.05,150,0.103,0.023,0.022,0.150
22,3.956,2.301,3.912,0.263,0.489,0.378,38.479,38,60,46,0.00,0.00,0.00,8.23,none,0,0,0,0.09,-0.00,-0.44,-0.00,1.14,1751311231.20,144,0.075,0.022,0.024,0.121
23,4.279,2.643,4.262,0.323,0.342,0.350,20.887,47,54,49,0.00,0.00,0.00,7.45,none,0,0,0,0.18,-0.00,-0.32,-0.00,1.13,1751311231.32,150,0.087,0.022,0.022,0.134
24,4.184,2.487,4.175,-0.095,-0.156,-0.087,16.998,52,49,48,0.00,0.00,0.00,7.60,none,0,0,0,0.30,-0.00,-0.23,-0.00,1.17,1751311231.45,149,0.081,0.023,0.026,0.132
25,4.160,2.429,4.151,-0.024,-0.057,-0.024,16.718,54,53,43,0.00,0.00,0.00,6.36,none,0,0,0,0.47,-0.00,-0.14,-0.00,1.28,1751311231.58,150,0.104,0.027,0.023,0.157
26,4.439,2.522,4.461,0.278,0.093,0.310,27.659,53,56,41,0.00,0.00,0.00,7.05,none,0,0,0,0.64,-0.00,-0.08,-0.00,1.38,1751311231.74,150,0.097,0.021,0.023,0.142
27,4.706,2.628,4.748,0.268,0.106,0.287,37.598,55,42,53,11.87,4.20,0.00,7.86,none,0,0,1,0.82,-0.00,-0.04,-0.00,1.47,1751311231.88,150,0.084,0.020,0.023,0.127
28,5.365,3.005,5.473,0.659,0.377,0.725,35.249,54,39,57,12.22,4.33,0.00,7.19,none,0,0,1,1.03,-0.00,-0.01,-0.00,1.55,1751311232.01,150,0.093,0.019,0.023,0.139
