frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
17,1751201497.59,0,0.000,0.000,0.000,0.000,0.00,0.00,-0.84,0.00,0.01,blind_forward,1,0,0,0.00,0.00,0.00,1.00,0.105,0.018,0.021,0.998
18,1751201497.60,150,0.040,0.016,0.022,0.694,0.00,-0.00,-0.84,-0.00,0.04,none,0,0,1,20.40,2.06,0.00,10.57,0.069,0.020,0.026,0.095
19,1751201497.69,150,2.967,1.247,1.927,92.403,0.02,-0.00,-0.85,-0.00,0.27,none,0,0,1,22.74,2.41,0.00,8.44,0.072,0.020,0.023,0.119
20,1751201497.81,150,4.724,2.925,3.530,71.633,0.06,-0.00,-0.88,-0.00,0.49,dodge_left,0,1,1,24.88,2.73,0.00,7.95,0.079,0.021,0.023,0.126
21,1751201497.93,150,5.252,3.431,4.089,37.481,0.11,-0.00,-0.89,-0.18,0.55,dodge_left,0,1,1,25.51,2.83,0.00,8.87,0.068,0.020,0.023,0.113
22,1751201498.05,150,6.139,4.640,5.370,179.679,0.18,-0.01,-0.89,-0.42,0.59,dodge_right,0,1,0,25.90,2.88,0.00,8.60,0.072,0.019,0.023,0.116
23,1751201498.16,150,6.261,4.920,5.726,73.714,0.25,-0.02,-0.88,-0.48,0.58,dodge_right,0,1,0,25.75,2.86,0.00,8.72,0.067,0.021,0.024,0.115
24,1751201498.28,150,6.775,5.154,6.306,63.578,0.31,-0.04,-0.88,-0.44,0.50,dodge_right,0,1,0,24.99,2.75,0.00,7.78,0.085,0.020,0.021,0.129
25,1751201498.41,150,6.759,5.112,6.352,45.349,0.37,-0.04,-0.89,-0.43,0.44,dodge_right,0,1,0,24.42,2.66,0.00,8.74,0.068,0.022,0.023,0.114
26,1751201498.52,150,6.564,4.848,6.198,21.947,0.41,-0.03,-0.89,-0.45,0.42,dodge_right,0,1,0,24.16,2.62,0.00,8.92,0.066,0.020,0.024,0.112
27,1751201498.63,150,6.749,4.945,6.357,7.244,0.45,-0.00,-0.90,-0.47,0.43,dodge_right,0,1,0,24.27,2.64,0.00,8.23,0.075,0.020,0.023,0.122
28,1751201498.75,150,7.181,5.214,6.445,13.364,0.49,0.04,-0.91,-0.50,0.47,dodge_right,0,1,0,24.66,2.70,0.00,8.88,0.067,0.021,0.024,0.113
29,1751201498.87,150,6.870,5.192,6.055,16.086,0.52,0.08,-0.91,-0.53,0.52,dodge_right,0,1,0,25.21,2.78,0.00,8.50,0.069,0.023,0.024,0.118
30,1751201498.98,150,6.536,4.817,5.488,19.028,0.54,0.15,-0.91,-0.55,0.58,dodge_right,0,1,0,25.82,2.87,0.00,8.31,0.073,0.021,0.024,0.120
31,1751201499.11,150,6.518,4.751,5.210,22.706,0.57,0.21,-0.92,-0.56,0.64,dodge_right,0,1,0,26.39,2.96,0.00,8.38,0.072,0.021,0.023,0.119
32,1751201499.22,150,6.188,4.169,4.430,25.728,0.58,0.29,-0.92,-0.57,0.69,dodge_left,0,1,1,26.89,3.03,0.00,8.71,0.069,0.021,0.024,0.115
33,1751201499.34,150,6.215,4.025,4.085,30.277,0.60,0.37,-0.91,-0.57,0.67,dodge_left,0,1,1,26.77,3.01,0.00,8.97,0.069,0.019,0.021,0.111
34,1751201499.45,150,6.151,4.206,3.841,70.122,0.61,0.44,-0.93,-0.56,0.56,dodge_right,0,1,1,25.60,2.84,0.00,8.55,0.069,0.023,0.024,0.117
35,1751201499.57,150,6.094,4.435,3.889,43.425,0.62,0.49,-0.93,-0.55,0.45,dodge_right,0,1,1,24.55,2.68,0.00,8.30,0.072,0.023,0.023,0.120
