frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
18,1751138185.06,150,0.023,0.015,0.022,0.126,0.00,0.00,-0.85,0.00,0.01,none,1,0,0,20.09,2.01,0.00,0.94,0.095,0.020,0.021,1.063
19,1751138185.08,150,0.047,0.035,0.054,0.617,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.12,2.02,0.00,4.34,0.070,0.020,0.022,0.231
20,1751138185.31,150,0.062,0.045,0.073,0.646,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.13,2.02,0.00,3.68,0.096,0.018,0.026,0.272
21,1751138185.58,150,0.066,0.062,0.087,0.986,0.00,0.00,-0.86,0.00,0.01,none,0,0,1,20.12,2.02,0.00,3.93,0.076,0.023,0.021,0.254
22,1751138185.83,150,0.076,0.064,0.093,0.764,0.00,0.00,-0.87,0.00,0.01,none,0,0,0,20.11,2.02,0.00,3.74,0.095,0.018,0.022,0.268
23,1751138186.10,150,0.075,0.062,0.092,0.611,0.00,0.00,-0.87,0.00,0.01,resume_reinforce,0,0,0,20.10,2.01,0.00,4.45,0.073,0.018,0.021,0.225
24,1751138186.32,149,1.193,0.883,0.941,121.149,0.03,-0.00,-0.89,0.00,0.38,none,0,0,0,0.00,0.00,0.00,3.73,0.102,0.020,0.022,0.268
25,1751138186.59,150,1.310,0.931,1.196,17.380,0.16,-0.00,-0.94,0.00,0.75,none,0,0,0,0.00,0.00,0.00,4.17,0.083,0.019,0.021,0.240
26,1751138186.83,148,1.870,1.450,1.986,36.897,0.38,-0.00,-0.97,0.00,1.08,none,0,0,0,0.00,0.00,0.00,4.17,0.076,0.022,0.023,0.240
27,1751138187.07,148,2.427,1.939,2.509,65.711,0.71,-0.00,-0.99,0.00,1.36,none,0,0,0,0.00,0.00,0.00,3.67,0.091,0.019,0.022,0.272
28,1751138187.34,148,3.158,2.573,3.377,83.798,1.07,-0.00,-0.99,0.00,1.55,none,0,0,0,35.47,4.32,0.00,4.04,0.079,0.023,0.025,0.247
29,1751138187.59,140,3.790,3.122,4.207,137.540,1.47,-0.00,-0.99,0.00,1.68,none,0,0,0,36.81,4.52,0.00,4.00,0.082,0.022,0.023,0.250
30,1751138187.84,135,4.378,3.746,4.950,49.605,1.94,-0.00,-0.99,0.00,1.78,none,0,0,0,37.77,4.67,0.00,3.74,0.090,0.022,0.025,0.268
31,1751138188.11,146,5.065,4.461,5.720,60.182,2.39,-0.00,-0.99,-0.00,1.84,none,0,0,0,38.39,4.76,0.00,4.02,0.072,0.022,0.025,0.249
32,1751138188.36,149,5.759,5.110,6.489,58.934,2.88,-0.00,-0.98,-0.00,1.88,resume_reinforce,0,0,0,38.84,4.83,0.00,3.73,0.089,0.021,0.025,0.268
33,1751138188.63,147,6.466,5.683,7.199,59.542,3.38,-0.00,-0.98,-0.00,1.91,none,0,0,0,39.14,4.87,0.00,3.86,0.084,0.024,0.024,0.259
34,1751138188.89,149,6.387,5.853,7.293,62.561,3.91,-0.00,-0.98,-0.00,1.94,none,0,0,0,39.36,4.90,0.00,3.59,0.082,0.022,0.023,0.278
35,1751138189.16,145,6.888,5.771,7.649,124.428,4.40,-0.00,-0.98,-0.00,1.95,none,0,0,0,39.49,4.92,0.00,3.91,0.077,0.021,0.022,0.256
36,1751138189.42,146,7.021,5.252,7.460,117.724,4.89,-0.00,-0.98,-0.00,1.96,none,0,0,0,39.58,4.94,0.00,4.00,0.074,0.022,0.022,0.250
37,1751138189.67,143,6.977,4.680,7.461,156.177,5.39,-0.00,-0.97,-0.00,1.96,none,0,0,0,39.64,4.95,0.00,3.96,0.074,0.020,0.022,0.253
38,1751138189.92,145,6.977,4.192,7.450,554.969,5.91,-0.00,-0.97,-0.00,1.97,none,0,0,0,39.68,4.95,0.00,3.74,0.079,0.022,0.024,0.267
39,1751138190.19,150,7.099,3.761,7.434,82.289,6.40,-0.00,-0.97,-0.00,1.97,none,0,0,0,39.71,4.96,0.00,4.01,0.089,0.020,0.022,0.249
40,1751138190.44,149,7.199,3.310,7.342,97.892,6.88,-0.00,-0.97,-0.00,1.97,none,0,0,0,39.73,4.96,0.00,4.15,0.073,0.022,0.026,0.241
