frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1751024011.00,134,0.109,0.095,0.046,6.235,0.00,0.00,-0.85,0.00,0.08,dodge_right,1,1,1,20.76,2.04,0.00,8.18,0.015,0.001,0.022,0.122
3,1751024011.05,150,0.112,0.238,0.069,15.230,0.00,0.00,-0.85,-0.00,0.08,nudge,0,0,0,20.83,2.04,0.00,16.63,0.017,0.001,0.021,0.060
4,1751024011.11,143,2.027,1.133,2.043,162.158,0.00,0.00,-0.84,-0.03,0.08,nudge,0,0,0,20.86,2.04,0.00,15.85,0.017,0.001,0.025,0.063
5,1751024011.17,125,2.307,2.871,3.016,250.116,0.00,0.00,-0.84,-0.04,0.08,nudge,0,0,0,20.84,2.04,0.00,15.97,0.015,0.001,0.024,0.063
6,1751024011.23,128,3.145,4.283,3.638,205.445,0.00,0.00,-0.83,-0.04,0.08,nudge,0,0,0,20.81,2.04,0.00,15.83,0.016,0.001,0.022,0.063
7,1751024011.30,116,3.964,4.845,4.347,381.588,0.01,0.01,-0.83,-0.04,0.10,nudge,0,0,0,20.86,2.04,0.00,15.72,0.015,0.001,0.023,0.064
8,1751024011.36,115,3.881,4.536,4.676,573.986,0.01,0.01,-0.82,-0.05,0.12,nudge,0,0,0,21.00,2.05,0.00,15.97,0.016,0.001,0.023,0.063
9,1751024011.42,137,3.956,5.099,4.353,337.560,0.02,0.01,-0.82,-0.05,0.14,none,0,0,0,21.19,2.06,0.00,16.22,0.017,0.001,0.023,0.062
10,1751024011.48,88,3.632,4.606,3.903,54.525,0.03,0.01,-0.82,-0.05,0.17,nudge,0,0,0,21.43,2.07,0.00,15.68,0.014,0.001,0.026,0.064
11,1751024011.55,146,3.387,4.187,3.671,40.975,0.04,0.01,-0.82,-0.05,0.19,nudge,0,0,0,21.67,2.08,0.00,16.33,0.016,0.011,0.026,0.061
12,1751024011.61,118,3.432,4.270,3.774,28.925,0.05,0.02,-0.81,-0.05,0.21,nudge,0,0,0,21.92,2.10,0.00,16.06,0.017,0.001,0.020,0.062
13,1751024011.67,133,3.495,4.345,3.822,35.546,0.07,0.02,-0.81,-0.05,0.24,none,0,0,0,22.14,2.11,0.00,15.78,0.016,0.002,0.020,0.063
14,1751024011.73,124,3.005,4.254,3.358,42.934,0.08,0.02,-0.81,-0.05,0.26,none,0,0,0,22.37,2.12,0.00,16.16,0.016,0.001,0.022,0.062
15,1751024011.80,134,2.851,4.032,2.985,217.843,0.10,0.02,-0.81,-0.05,0.28,none,0,0,0,22.58,2.13,0.00,16.04,0.019,0.000,0.024,0.062
16,1751024011.86,119,2.534,3.123,2.448,191.020,0.11,0.02,-0.81,-0.05,0.29,none,0,0,0,22.78,2.14,0.00,15.97,0.014,0.001,0.024,0.063
17,1751024011.92,121,1.909,2.502,1.776,98.956,0.13,0.02,-0.80,-0.05,0.31,none,0,0,0,22.95,2.15,0.00,16.07,0.016,0.002,0.024,0.062
18,1751024011.98,148,1.840,2.344,1.340,184.710,0.15,0.03,-0.80,-0.05,0.33,none,0,0,0,23.13,2.16,0.00,16.27,0.014,0.002,0.023,0.061
19,1751024012.04,100,1.500,1.906,1.266,209.039,0.17,0.03,-0.80,-0.05,0.34,none,0,0,0,23.28,2.16,0.00,15.98,0.018,0.000,0.024,0.063
20,1751024012.11,121,1.469,1.917,1.434,105.814,0.19,0.03,-0.80,-0.05,0.36,none,0,0,0,23.43,2.17,0.00,16.07,0.019,0.002,0.021,0.062
21,1751024012.17,89,1.502,2.493,1.313,236.684,0.22,0.03,-0.80,-0.05,0.37,none,0,0,0,23.56,2.18,0.00,15.90,0.015,0.001,0.026,0.063
22,1751024012.23,112,1.511,2.518,1.451,195.314,0.24,0.03,-0.79,-0.05,0.38,none,0,0,0,23.69,2.18,0.00,15.98,0.018,0.002,0.022,0.063
23,1751024012.29,102,1.580,2.644,1.480,69.662,0.27,0.03,-0.79,-0.05,0.39,none,0,0,0,23.80,2.19,0.00,16.18,0.018,0.001,0.023,0.062
24,1751024012.36,109,1.564,2.556,1.449,38.289,0.29,0.03,-0.79,-0.05,0.40,none,0,0,0,23.90,2.20,0.00,15.82,0.018,0.001,0.024,0.063
25,1751024012.42,88,1.528,2.013,1.437,54.391,0.31,0.03,-0.79,-0.05,0.41,none,0,0,0,23.99,2.20,0.00,16.07,0.017,0.001,0.025,0.062
26,1751024012.48,82,1.280,2.090,1.436,33.144,0.34,0.03,-0.79,-0.05,0.42,none,0,0,0,24.08,2.20,0.00,15.94,0.016,0.001,0.025,0.063
27,1751024012.54,124,1.152,2.260,1.459,78.291,0.37,0.03,-0.79,-0.05,0.42,none,0,0,0,24.16,2.21,0.00,15.97,0.016,0.001,0.022,0.063
28,1751024012.61,150,0.958,2.213,1.374,173.469,0.39,0.03,-0.79,-0.06,0.43,none,0,0,0,24.23,2.21,0.00,16.21,0.017,0.001,0.021,0.062
29,1751024012.67,122,0.910,2.545,1.281,477.533,0.42,0.03,-0.78,-0.06,0.44,none,0,0,0,24.29,2.21,0.00,15.84,0.014,0.001,0.020,0.063
30,1751024012.73,128,0.872,2.492,1.154,41.323,0.45,0.03,-0.78,-0.06,0.43,none,0,0,0,24.37,2.22,0.00,15.73,0.018,0.001,0.020,0.064
31,1751024012.80,114,0.832,1.955,1.242,66.057,0.47,0.03,-0.77,-0.05,0.43,resume,0,0,0,24.31,2.22,0.00,16.12,0.016,0.001,0.022,0.062
52,1751024013.59,83,3.492,3.344,2.860,95.714,1.14,0.04,-0.82,0.01,1.32,none,0,0,0,33.22,2.66,0.00,1.30,0.015,0.001,0.023,0.771
53,1751024013.63,96,3.627,3.462,3.008,62.698,1.22,0.04,-0.83,0.01,1.37,none,0,0,0,33.59,2.68,0.00,17.21,0.018,0.001,0.023,0.058
54,1751024013.69,79,3.636,3.474,3.246,70.258,1.31,0.04,-0.83,0.01,1.42,none,0,0,0,33.98,2.70,0.00,16.03,0.018,0.002,0.022,0.062
55,1751024013.75,63,3.768,3.503,3.051,112.475,1.40,0.04,-0.83,0.00,1.47,none,0,0,0,34.27,2.71,0.00,15.88,0.014,0.001,0.021,0.063
56,1751024013.81,104,3.763,3.483,3.153,97.263,1.49,0.04,-0.83,0.00,1.51,none,0,0,0,34.75,2.74,0.00,16.44,0.014,0.001,0.025,0.061
57,1751024013.87,56,3.657,3.214,3.096,84.639,1.58,0.04,-0.83,-0.00,1.56,none,0,0,0,35.16,2.76,0.00,16.09,0.017,0.001,0.023,0.062
58,1751024013.94,56,3.703,2.657,3.264,157.652,1.68,0.04,-0.83,-0.00,1.59,none,0,0,0,35.57,2.78,0.00,16.21,0.014,0.001,0.022,0.062
59,1751024014.00,104,3.490,2.533,3.413,141.656,1.78,0.04,-0.83,-0.00,1.62,none,0,0,0,35.92,2.80,0.00,16.01,0.017,0.001,0.023,0.062
60,1751024014.06,77,3.776,2.410,3.395,285.544,1.88,0.04,-0.83,-0.00,1.66,none,0,0,0,36.26,2.81,0.00,15.91,0.016,0.002,0.022,0.063
61,1751024014.12,84,4.147,2.369,3.355,215.680,1.99,0.04,-0.83,-0.00,1.68,none,0,0,1,36.57,2.83,0.00,15.74,0.016,0.001,0.022,0.064
62,1751024014.19,97,3.848,2.308,3.364,94.024,2.10,0.04,-0.83,-0.00,1.71,none,0,0,0,36.87,2.84,0.00,16.07,0.015,0.001,0.020,0.062
63,1751024014.25,72,3.868,2.229,3.387,102.174,2.20,0.04,-0.83,-0.00,1.73,none,0,0,0,37.12,2.86,0.00,16.23,0.016,0.001,0.021,0.062
64,1751024014.31,58,3.840,2.102,3.356,120.220,2.31,0.04,-0.83,-0.00,1.76,none,0,0,0,37.35,2.87,0.00,15.86,0.016,0.001,0.023,0.063
65,1751024014.37,63,3.509,1.952,3.288,87.697,2.42,0.04,-0.82,-0.00,1.77,none,0,0,0,37.57,2.88,0.00,16.05,0.017,0.001,0.021,0.062
66,1751024014.43,136,4.380,1.815,3.145,283.886,2.53,0.04,-0.82,-0.00,1.79,none,0,0,1,37.76,2.89,0.00,16.16,0.014,0.001,0.024,0.062
67,1751024014.50,74,4.312,1.648,2.965,75.985,2.64,0.04,-0.82,0.00,1.81,none,0,0,1,37.94,2.90,0.00,16.10,0.019,0.001,0.023,0.062
68,1751024014.56,61,4.197,1.405,2.993,128.500,2.75,0.04,-0.82,0.00,1.82,none,0,0,1,38.10,2.90,0.00,15.85,0.019,0.001,0.022,0.063
69,1751024014.62,61,4.243,1.398,2.784,53.360,2.87,0.04,-0.82,0.00,1.84,none,0,0,1,38.25,2.91,0.00,16.10,0.019,0.001,0.022,0.062
70,1751024014.68,97,3.694,1.229,2.664,87.510,2.99,0.04,-0.82,0.00,1.85,none,0,0,1,38.38,2.92,0.00,16.15,0.019,0.001,0.024,0.062
71,1751024014.75,56,3.173,1.071,2.466,60.485,3.10,0.04,-0.82,0.00,1.86,none,0,0,1,38.51,2.93,0.00,15.96,0.015,0.002,0.022,0.063
72,1751024014.81,69,3.307,0.911,2.349,84.403,3.22,0.04,-0.82,0.00,1.87,resume_reinforce,0,0,1,38.62,2.93,0.00,15.96,0.019,0.001,0.022,0.063
73,1751024014.87,75,3.091,0.908,2.268,68.469,3.33,0.04,-0.82,0.00,1.88,none,0,0,1,38.72,2.94,0.00,15.92,0.017,0.001,0.023,0.063
74,1751024014.93,61,2.928,0.801,2.076,69.017,3.45,0.04,-0.82,0.00,1.89,none,0,0,1,38.81,2.94,0.00,16.03,0.018,0.001,0.024,0.062
75,1751024015.00,54,3.034,0.710,2.027,107.564,3.57,0.04,-0.82,0.00,1.90,none,0,0,1,38.90,2.95,0.00,15.96,0.018,0.001,0.021,0.063
76,1751024015.06,66,2.094,0.621,2.000,50.808,3.69,0.04,-0.82,0.00,1.90,none,0,0,0,38.98,2.95,0.00,15.84,0.018,0.001,0.024,0.063
77,1751024015.12,66,1.998,0.563,1.914,26.758,3.81,0.04,-0.82,0.00,1.91,none,0,0,0,39.05,2.95,0.00,15.97,0.020,0.001,0.020,0.063
78,1751024015.18,54,1.746,0.522,1.520,33.210,3.93,0.04,-0.82,-0.00,1.92,none,0,0,1,39.11,2.96,0.00,16.23,0.016,0.001,0.024,0.062
79,1751024015.25,68,1.761,0.462,1.518,57.726,4.05,0.04,-0.82,-0.00,1.92,none,0,0,1,39.17,2.96,0.00,16.23,0.015,0.001,0.022,0.062
80,1751024015.31,63,1.799,0.430,1.437,43.947,4.17,0.04,-0.81,-0.00,1.93,none,0,0,1,39.22,2.96,0.00,16.21,0.017,0.001,0.025,0.062
81,1751024015.37,68,1.836,0.353,1.860,250.702,4.28,0.04,-0.81,-0.00,1.93,none,0,0,0,39.27,2.96,0.00,16.10,0.016,0.002,0.021,0.062
82,1751024015.43,69,1.626,0.351,1.925,54.543,4.41,0.04,-0.81,-0.00,1.94,none,0,0,1,39.32,2.97,0.00,15.88,0.018,0.001,0.022,0.063
83,1751024015.49,70,1.779,0.380,1.907,53.607,4.53,0.04,-0.81,-0.00,1.94,none,0,0,1,39.36,2.97,0.00,16.29,0.018,0.001,0.023,0.061
84,1751024015.56,50,1.798,0.405,2.054,65.251,4.65,0.04,-0.81,-0.00,1.94,none,0,0,1,39.40,2.97,0.00,15.69,0.018,0.001,0.026,0.064
85,1751024015.62,55,2.063,0.571,1.975,279.481,4.77,0.04,-0.81,-0.00,1.95,none,0,0,0,39.43,2.97,0.00,16.12,0.016,0.001,0.022,0.062
86,1751024015.68,58,2.127,0.570,1.919,67.569,4.90,0.04,-0.81,-0.00,1.95,none,0,0,1,39.46,2.97,0.00,15.59,0.017,0.002,0.020,0.064
87,1751024015.75,80,2.236,0.668,1.922,72.474,5.02,0.04,-0.81,-0.00,1.95,none,0,0,1,39.49,2.97,0.00,15.94,0.019,0.001,0.023,0.063
88,1751024015.81,44,2.310,0.693,2.183,168.856,5.14,0.04,-0.81,-0.00,1.95,none,0,0,0,39.51,2.98,0.00,15.83,0.017,0.001,0.024,0.063
89,1751024015.87,95,2.306,0.721,2.158,61.336,5.26,0.04,-0.81,0.00,1.96,none,0,0,0,39.54,2.98,0.00,16.14,0.016,0.001,0.023,0.062
90,1751024015.93,94,2.551,0.853,2.257,163.806,5.39,0.04,-0.81,0.00,1.96,none,0,0,1,39.56,2.98,0.00,15.72,0.015,0.001,0.025,0.064
91,1751024016.00,54,2.577,0.888,1.914,44.259,5.51,0.04,-0.81,0.00,1.96,none,0,0,1,39.58,2.98,0.00,15.72,0.017,0.001,0.022,0.064
92,1751024016.06,50,2.623,1.145,1.899,58.334,5.63,0.04,-0.81,0.00,1.96,none,0,0,1,39.59,2.98,0.00,15.97,0.017,0.001,0.023,0.063
93,1751024016.12,103,2.612,1.584,2.030,135.691,5.75,0.04,-0.81,0.00,1.96,none,0,0,1,39.61,2.98,0.00,16.34,0.022,0.001,0.034,0.061
94,1751024016.18,56,2.652,1.574,1.873,49.553,5.87,0.04,-0.81,0.00,1.96,none,0,0,1,39.62,2.98,0.00,16.15,0.017,0.002,0.021,0.062
95,1751024016.25,70,2.375,1.564,2.025,72.039,5.99,0.04,-0.81,0.00,1.96,none,0,0,0,39.64,2.98,0.00,15.97,0.016,0.001,0.022,0.063
96,1751024016.31,41,2.269,1.595,2.197,59.705,6.12,0.04,-0.81,0.00,1.97,none,0,0,0,39.65,2.98,0.00,15.95,0.015,0.001,0.023,0.063
97,1751024016.37,76,2.344,2.004,2.302,366.252,6.24,0.04,-0.81,0.00,1.97,none,0,0,0,39.66,2.98,0.00,16.15,0.014,0.001,0.023,0.062
98,1751024016.43,42,2.419,2.077,2.116,65.994,6.36,0.04,-0.81,0.00,1.97,none,0,0,0,39.67,2.98,0.00,16.21,0.016,0.002,0.024,0.062
99,1751024016.50,51,2.387,2.033,2.100,26.106,6.48,0.04,-0.81,0.00,1.97,none,0,0,0,39.68,2.98,0.00,16.25,0.017,0.001,0.021,0.062
100,1751024016.56,66,2.238,2.027,2.328,136.344,6.60,0.04,-0.81,-0.00,1.97,none,0,0,0,39.69,2.98,0.00,15.94,0.017,0.001,0.021,0.063
101,1751024016.62,124,2.392,2.391,2.342,145.504,6.73,0.04,-0.81,-0.00,1.97,none,0,0,0,39.70,2.98,0.00,15.95,0.016,0.001,0.023,0.063
102,1751024016.68,96,2.308,2.279,2.465,75.449,6.85,0.04,-0.81,-0.00,1.97,none,0,0,0,39.70,2.99,0.00,16.09,0.014,0.002,0.022,0.062
103,1751024016.75,57,3.038,1.873,2.404,403.599,6.97,0.04,-0.81,-0.00,1.97,none,0,0,1,39.71,2.99,0.00,16.19,0.018,0.001,0.023,0.062
104,1751024016.81,81,3.601,1.983,2.518,187.055,7.09,0.04,-0.81,-0.00,1.97,none,0,0,1,39.71,2.99,0.00,15.95,0.014,0.001,0.025,0.063
105,1751024016.87,75,3.546,1.985,2.434,64.273,7.22,0.04,-0.81,-0.00,1.97,resume_reinforce,0,0,1,39.72,2.99,0.00,15.97,0.018,0.002,0.022,0.063
106,1751024016.93,58,3.822,2.047,2.380,196.124,7.34,0.04,-0.81,-0.00,1.97,none,0,0,1,39.72,2.99,0.00,15.82,0.014,0.001,0.021,0.063
107,1751024017.00,67,4.108,1.739,2.389,131.785,7.47,0.04,-0.81,-0.00,1.97,none,0,0,1,39.73,2.99,0.00,16.09,0.019,0.002,0.023,0.062
108,1751024017.06,74,4.131,1.721,2.534,205.041,7.59,0.04,-0.81,-0.00,1.97,none,0,0,1,39.73,2.99,0.00,15.79,0.016,0.001,0.021,0.063
109,1751024017.12,125,4.449,2.204,2.860,229.699,7.71,0.04,-0.80,-0.00,1.97,none,0,0,1,39.74,2.99,0.00,15.83,0.014,0.002,0.021,0.063
110,1751024017.18,84,4.603,2.201,2.645,107.422,7.84,0.04,-0.80,0.00,1.97,none,0,0,1,39.74,2.99,0.00,15.89,0.018,0.001,0.023,0.063
111,1751024017.25,68,4.464,1.908,4.113,800.119,7.96,0.04,-0.80,0.00,1.97,none,0,0,0,39.74,2.99,0.00,15.95,0.016,0.001,0.021,0.063
112,1751024017.31,46,4.513,1.835,4.050,69.671,8.08,0.04,-0.80,0.00,1.97,none,0,0,0,39.74,2.99,0.00,16.42,0.016,0.001,0.020,0.061
113,1751024017.37,49,3.869,1.892,4.098,96.279,8.20,0.04,-0.80,0.00,1.97,none,0,0,0,39.75,2.99,0.00,16.34,0.017,0.002,0.023,0.061
114,1751024017.43,52,3.804,1.838,4.100,192.637,8.32,0.04,-0.80,0.00,1.98,none,0,0,0,39.75,2.99,0.00,15.75,0.017,0.002,0.022,0.064
115,1751024017.50,16,3.692,1.759,4.049,29.467,8.45,0.04,-0.80,0.00,1.98,none,0,0,0,39.75,2.99,0.00,15.72,0.018,0.001,0.024,0.064
116,1751024017.56,46,3.466,1.677,4.009,28.142,8.57,0.04,-0.80,0.00,1.98,none,0,0,1,39.75,2.99,0.00,15.92,0.019,0.001,0.020,0.063
117,1751024017.62,98,3.659,1.774,4.325,261.800,8.70,0.04,-0.80,0.00,1.98,none,0,0,1,39.76,2.99,0.00,15.72,0.018,0.001,0.026,0.064
118,1751024017.69,76,3.609,1.811,4.107,48.752,8.82,0.04,-0.80,0.00,1.98,none,0,0,0,39.76,2.99,0.00,15.97,0.015,0.002,0.021,0.063
119,1751024017.75,48,3.339,1.453,3.777,63.857,8.95,0.04,-0.80,0.00,1.98,none,0,0,1,39.76,2.99,0.00,15.94,0.015,0.002,0.023,0.063
120,1751024017.81,44,3.701,1.409,3.795,354.282,9.07,0.04,-0.80,0.00,1.98,none,0,0,0,39.76,2.99,0.00,16.18,0.016,0.002,0.022,0.062
121,1751024017.87,42,3.682,1.308,2.345,51.482,9.20,0.04,-0.80,-0.00,1.98,none,0,0,1,39.76,2.99,0.00,15.95,0.019,0.001,0.022,0.063
122,1751024017.94,27,3.678,1.313,2.266,34.798,9.31,0.04,-0.80,-0.00,1.98,none,0,0,1,39.76,2.99,0.00,16.18,0.019,0.001,0.021,0.062
123,1751024018.00,38,3.453,1.125,2.140,44.095,9.44,0.04,-0.80,-0.00,1.98,none,0,0,1,39.76,2.99,0.00,16.10,0.016,0.000,0.022,0.062
124,1751024018.06,43,3.158,1.309,2.235,177.084,9.56,0.04,-0.80,-0.00,1.98,none,0,0,1,39.76,2.99,0.00,16.07,0.015,0.002,0.025,0.062
125,1751024018.12,71,4.435,1.632,2.576,471.898,9.69,0.04,-0.80,-0.00,1.98,none,0,0,1,39.76,2.99,0.00,15.88,0.017,0.001,0.023,0.063
126,1751024018.18,38,4.471,1.711,2.707,56.807,9.81,0.04,-0.80,-0.00,1.98,none,0,0,1,39.77,2.99,0.00,16.18,0.019,0.001,0.024,0.062
127,1751024018.25,37,3.907,1.490,2.272,41.372,9.93,0.04,-0.80,-0.00,1.98,none,0,0,1,39.77,2.99,0.00,16.03,0.016,0.001,0.024,0.062
128,1751024018.31,51,4.236,1.440,2.547,215.324,10.05,0.04,-0.80,-0.00,1.98,none,0,0,1,39.77,2.99,0.00,16.46,0.019,0.002,0.021,0.061
