frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
18,1751137604.31,150,0.017,0.016,0.017,0.130,0.00,0.00,-1.99,0.00,0.01,none,1,0,0,20.08,2.01,0.00,0.92,0.069,0.019,0.022,1.082
19,1751137604.45,150,0.036,0.035,0.045,0.541,0.00,0.00,-2.00,0.00,0.01,none,0,0,0,20.12,2.02,0.00,4.88,0.067,0.019,0.024,0.205
20,1751137604.55,150,0.046,0.044,0.063,0.677,0.00,0.00,-2.00,0.00,0.01,none,0,0,1,20.13,2.02,0.00,4.49,0.070,0.019,0.023,0.223
21,1751137604.77,150,0.053,0.052,0.074,0.688,0.00,0.00,-2.00,0.00,0.01,none,0,0,1,20.13,2.02,0.00,4.24,0.077,0.020,0.021,0.236
22,1751137605.00,150,0.058,0.056,0.082,0.833,0.00,0.00,-2.00,0.00,0.01,none,0,0,1,20.12,2.02,0.00,4.53,0.065,0.019,0.022,0.221
23,1751137605.23,150,0.061,0.059,0.085,0.677,0.00,0.00,-2.01,0.00,0.01,none,0,0,1,20.11,2.02,0.00,4.26,0.076,0.019,0.020,0.235
24,1751137605.46,150,0.061,0.062,0.085,0.777,0.00,0.00,-2.01,0.00,0.01,resume_reinforce,0,0,1,20.09,2.01,0.00,4.45,0.065,0.019,0.022,0.225
25,1751137605.69,150,1.163,0.952,0.940,151.811,0.03,-0.00,-2.03,-0.00,0.38,none,0,0,0,0.00,0.00,0.00,3.71,0.084,0.019,0.023,0.270
26,1751137605.96,150,1.193,0.938,1.146,17.856,0.15,-0.00,-2.08,-0.00,0.74,none,0,0,0,0.00,0.00,0.00,4.30,0.070,0.021,0.022,0.233
27,1751137606.19,147,1.730,1.411,1.902,39.064,0.36,-0.00,-2.11,-0.00,1.06,none,0,0,0,0.00,0.00,0.00,4.22,0.079,0.019,0.021,0.237
28,1751137606.42,150,2.528,2.011,2.637,54.122,0.65,-0.00,-2.13,0.00,1.33,none,0,0,0,0.00,0.00,0.00,4.05,0.072,0.021,0.022,0.247
29,1751137606.67,147,3.358,2.688,3.479,90.820,0.97,-0.00,-2.13,0.00,1.51,none,0,0,0,0.00,0.00,0.00,4.39,0.065,0.019,0.026,0.228
30,1751137606.90,142,4.214,3.340,4.329,65.746,1.37,-0.00,-2.13,0.00,1.65,none,0,0,0,36.53,4.48,0.00,3.92,0.072,0.020,0.024,0.255
31,1751137607.15,142,5.021,4.080,5.135,57.699,1.80,-0.00,-2.13,0.00,1.75,none,0,0,0,37.52,4.63,0.00,4.05,0.071,0.022,0.024,0.247
32,1751137607.40,147,5.795,4.755,5.938,51.293,2.23,-0.00,-2.13,0.00,1.82,none,0,0,0,38.21,4.73,0.00,4.15,0.080,0.019,0.024,0.241
33,1751137607.64,150,6.492,5.510,6.665,59.254,2.68,-0.00,-2.13,0.00,1.87,none,0,0,0,38.68,4.80,0.00,4.07,0.081,0.020,0.023,0.246
34,1751137607.89,149,7.155,6.230,7.361,81.429,3.14,-0.00,-2.12,-0.00,1.90,resume_reinforce,0,0,0,39.01,4.85,0.00,4.05,0.072,0.020,0.023,0.247
35,1751137608.14,150,6.975,6.146,7.357,69.622,3.63,-0.00,-2.12,-0.00,1.93,none,0,0,0,39.26,4.89,0.00,3.86,0.083,0.021,0.024,0.259
36,1751137608.39,149,7.505,6.082,7.589,61.600,4.16,-0.00,-2.12,-0.00,1.94,none,0,0,0,39.43,4.91,0.00,3.65,0.099,0.019,0.022,0.274
37,1751137608.67,149,7.548,5.540,7.341,128.161,4.65,-0.00,-2.12,-0.00,1.95,none,0,0,0,39.54,4.93,0.00,3.97,0.078,0.020,0.026,0.252
38,1751137608.92,144,7.523,4.995,7.283,185.212,5.14,-0.00,-2.12,-0.00,1.96,none,0,0,0,39.61,4.94,0.00,3.99,0.075,0.021,0.022,0.250
39,1751137609.17,148,7.555,4.454,7.229,412.006,5.60,-0.00,-2.11,0.00,1.97,none,0,0,0,39.66,4.95,0.00,4.22,0.065,0.021,0.023,0.237
40,1751137609.41,143,7.422,3.933,7.369,85.002,6.05,-0.00,-2.11,0.00,1.97,none,0,0,0,39.69,4.95,0.00,4.31,0.071,0.021,0.024,0.232
41,1751137609.64,150,7.323,3.355,7.409,62.840,6.58,-0.00,-2.11,0.00,1.97,none,0,0,0,39.72,4.96,0.00,3.69,0.082,0.022,0.025,0.271
