frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
18,1751129860.22,150,0.036,0.030,0.051,0.342,0.00,0.00,-0.85,0.00,0.01,none,1,0,0,20.10,2.02,0.00,0.88,0.070,0.018,0.022,1.140
19,1751129860.31,150,0.047,0.038,0.072,0.694,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.41,0.070,0.019,0.020,0.227
20,1751129860.53,150,0.055,0.050,0.083,0.774,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.56,0.068,0.018,0.020,0.219
21,1751129860.75,150,0.065,0.055,0.088,0.748,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.47,0.077,0.018,0.019,0.224
22,1751129860.98,150,0.066,0.053,0.089,0.711,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.11,2.02,0.00,4.47,0.067,0.020,0.021,0.224
23,1751129861.20,150,0.065,0.052,0.089,0.619,0.00,0.00,-0.86,0.00,0.01,resume_reinforce,0,0,0,20.10,2.01,0.00,4.47,0.073,0.019,0.019,0.224
29,1751129862.66,148,4.223,3.606,4.596,97.791,1.37,-0.00,-0.98,-0.00,1.65,none,0,0,0,36.53,4.48,0.00,0.68,0.069,0.022,0.023,1.469
30,1751129862.89,146,4.779,4.144,5.346,55.183,1.77,-0.00,-0.98,-0.00,1.75,none,0,0,0,37.47,4.62,0.00,4.28,0.068,0.020,0.021,0.234
31,1751129863.13,149,5.389,4.919,6.115,51.430,2.26,0.00,-0.98,0.00,1.82,none,0,0,0,38.24,4.74,0.00,3.64,0.099,0.020,0.022,0.274
32,1751129863.40,150,6.097,5.521,6.881,67.280,2.72,0.00,-0.98,0.00,1.87,none,0,0,0,38.72,4.81,0.00,3.99,0.077,0.021,0.021,0.251
33,1751129863.65,148,6.818,6.291,7.638,63.180,3.17,0.00,-0.97,0.00,1.90,resume_reinforce,0,0,0,39.04,4.86,0.00,4.13,0.075,0.021,0.021,0.242
34,1751129863.89,149,6.795,6.315,7.721,54.576,3.69,0.00,-0.97,0.00,1.93,none,0,0,0,39.28,4.89,0.00,3.71,0.095,0.020,0.024,0.270
35,1751129864.16,148,6.881,5.898,7.764,68.063,4.17,0.00,-0.97,0.00,1.94,none,0,0,0,39.43,4.91,0.00,4.06,0.077,0.020,0.023,0.246
36,1751129864.41,150,6.935,5.413,7.536,97.063,4.73,0.00,-0.97,0.00,1.96,none,0,0,0,39.55,4.93,0.00,3.40,0.097,0.019,0.023,0.295
37,1751129864.70,143,7.116,4.920,7.394,148.137,5.24,0.00,-0.97,0.00,1.96,none,0,0,0,39.62,4.94,0.00,3.83,0.085,0.023,0.024,0.261
38,1751129864.97,120,7.074,4.270,7.361,351.205,5.68,0.00,-0.97,0.00,1.97,none,0,0,0,39.67,4.95,0.00,4.45,0.067,0.020,0.020,0.225
39,1751129865.19,147,7.146,3.818,7.316,79.626,6.16,0.00,-0.96,0.00,1.97,none,0,0,0,39.70,4.95,0.00,4.05,0.075,0.021,0.026,0.247
40,1751129865.44,143,7.353,3.482,6.867,97.391,6.65,-0.00,-0.96,0.00,1.97,none,0,0,0,39.72,4.96,0.00,4.07,0.070,0.019,0.022,0.246
