frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
17,1751197819.24,0,0.000,0.000,0.000,0.000,0.00,0.00,-0.84,0.00,0.01,blind_forward,1,0,0,0.00,0.00,0.00,1.00,0.070,0.019,0.022,1.005
18,1751197819.25,150,0.012,0.008,0.015,0.344,0.00,-0.00,-0.84,0.00,0.04,none,0,0,0,20.36,2.05,0.00,18.41,0.070,0.022,0.023,0.054
19,1751197819.30,150,2.123,1.725,1.839,89.719,0.01,-0.00,-0.85,0.00,0.18,none,0,0,0,21.78,2.27,0.00,8.78,0.067,0.021,0.023,0.114
20,1751197819.41,147,3.530,2.772,2.955,153.530,0.03,-0.00,-0.87,0.00,0.39,none,0,0,0,23.89,2.58,0.00,8.83,0.071,0.019,0.021,0.113
21,1751197819.53,147,4.260,3.316,3.523,67.820,0.08,-0.00,-0.89,0.00,0.58,none,0,0,0,25.78,2.87,0.00,8.56,0.075,0.019,0.023,0.117
22,1751197819.64,150,3.914,2.923,3.420,17.038,0.16,-0.00,-0.92,0.00,0.76,none,0,0,0,27.63,3.14,0.00,8.13,0.082,0.018,0.021,0.123
23,1751197819.76,148,4.219,3.215,4.069,28.624,0.27,-0.00,-0.94,0.00,0.94,none,0,0,0,29.36,3.40,0.00,8.15,0.082,0.020,0.021,0.123
24,1751197819.89,149,4.530,3.521,4.561,45.385,0.38,-0.00,-0.95,0.00,1.09,none,0,0,0,30.86,3.63,0.00,8.36,0.076,0.019,0.022,0.120
25,1751197820.01,146,4.741,3.755,4.991,39.143,0.53,-0.00,-0.96,0.00,1.23,none,0,0,0,32.28,3.84,0.00,7.94,0.085,0.019,0.020,0.126
26,1751197820.13,146,5.036,3.993,5.287,57.397,0.68,-0.00,-0.96,0.00,1.35,none,0,0,0,33.43,4.01,0.00,8.45,0.071,0.022,0.022,0.118
27,1751197820.25,146,5.800,4.651,6.155,75.553,0.83,-0.00,-0.97,0.00,1.44,none,0,0,0,34.37,4.16,0.00,9.09,0.067,0.020,0.020,0.110
28,1751197820.36,149,6.505,5.277,7.035,89.926,1.01,-0.00,-0.97,0.00,1.52,none,0,0,0,35.22,4.28,0.00,8.47,0.080,0.018,0.022,0.118
29,1751197820.48,150,6.566,5.390,7.343,118.055,1.18,-0.00,-0.97,0.00,1.59,none,0,0,0,35.90,4.39,0.00,9.11,0.066,0.021,0.021,0.110
30,1751197820.59,147,6.412,5.413,7.555,91.811,1.36,-0.00,-0.97,0.00,1.65,none,0,0,0,36.50,4.48,0.00,8.86,0.071,0.019,0.021,0.113
31,1751197820.70,134,6.317,5.426,7.741,51.636,1.55,-0.00,-0.97,0.00,1.70,none,0,0,0,37.00,4.55,0.00,8.89,0.068,0.019,0.023,0.112
32,1751197820.82,147,6.655,5.910,8.206,47.142,1.76,-0.00,-0.97,0.00,1.75,none,0,0,0,37.46,4.62,0.00,8.05,0.081,0.019,0.022,0.124
33,1751197820.94,137,6.637,5.990,8.168,58.894,1.97,-0.00,-0.97,0.00,1.78,none,0,0,0,37.83,4.67,0.00,8.44,0.071,0.018,0.027,0.119
34,1751197821.06,148,6.577,6.096,8.108,52.083,2.19,-0.00,-0.96,0.00,1.82,none,0,0,0,38.16,4.72,0.00,8.06,0.078,0.022,0.024,0.124
35,1751197821.18,148,6.628,6.181,8.048,54.748,2.43,-0.00,-0.96,0.00,1.84,none,0,0,0,38.44,4.77,0.00,7.56,0.088,0.020,0.022,0.132
36,1751197821.31,150,6.568,6.221,8.074,64.900,2.66,-0.00,-0.96,0.00,1.81,resume_reinforce,0,0,0,38.13,4.72,0.00,8.14,0.079,0.020,0.021,0.123
37,1751197821.44,150,6.518,6.308,7.930,92.412,2.86,-0.00,-0.95,0.00,1.73,none,0,0,0,0.00,0.00,0.00,8.71,0.072,0.020,0.022,0.115
38,1751197821.55,150,6.447,6.277,7.707,76.473,3.06,-0.00,-0.94,0.00,1.71,none,0,0,0,0.00,0.00,0.00,8.44,0.076,0.019,0.022,0.118
39,1751197821.67,150,6.426,6.447,7.569,46.532,3.31,-0.00,-0.93,-0.00,1.72,none,0,0,0,0.00,0.00,0.00,6.82,0.103,0.020,0.020,0.147
40,1751197821.82,149,6.442,6.603,7.365,58.885,3.51,-0.00,-0.92,-0.00,1.75,none,0,0,0,0.00,0.00,0.00,8.83,0.071,0.020,0.021,0.113
41,1751197821.93,149,6.545,6.752,7.241,50.241,3.78,-0.00,-0.91,-0.00,1.78,none,0,0,0,0.00,0.00,0.00,6.64,0.096,0.024,0.027,0.151
42,1751197822.08,147,6.711,6.261,7.087,67.738,3.98,-0.00,-0.91,-0.00,1.81,none,0,0,0,0.00,0.00,0.00,8.75,0.072,0.021,0.021,0.114
43,1751197822.20,149,6.841,5.766,6.972,69.319,4.20,-0.00,-0.90,-0.00,1.84,none,0,0,0,0.00,0.00,0.00,8.24,0.073,0.025,0.021,0.121
44,1751197822.32,136,6.917,5.130,6.847,109.200,4.42,-0.00,-0.90,-0.00,1.86,none,0,0,0,0.00,0.00,0.00,8.51,0.074,0.020,0.020,0.118
45,1751197822.43,143,6.860,4.536,6.646,87.919,4.68,-0.00,-0.90,-0.00,1.88,none,0,0,0,0.00,0.00,0.00,7.21,0.096,0.021,0.020,0.139
46,1751197822.57,149,6.866,3.947,6.492,141.962,4.90,-0.00,-0.89,-0.00,1.89,none,0,0,0,38.94,4.84,0.00,8.62,0.073,0.020,0.020,0.116
47,1751197822.69,145,6.906,3.268,6.405,191.542,5.12,-0.00,-0.89,-0.00,1.91,none,0,0,0,39.07,4.86,0.00,8.80,0.072,0.019,0.019,0.114
48,1751197822.80,143,6.997,2.713,6.464,210.351,5.33,-0.00,-0.89,-0.00,1.92,none,0,0,0,39.18,4.88,0.00,8.74,0.072,0.019,0.022,0.114
49,1751197822.92,142,7.185,2.059,6.562,350.331,5.54,-0.00,-0.88,-0.00,1.93,none,0,0,1,39.26,4.89,0.00,9.15,0.067,0.019,0.022,0.109
50,1751197823.03,146,7.377,1.400,6.710,297.049,5.77,-0.00,-0.88,-0.00,1.93,none,0,0,1,39.35,4.90,0.00,7.96,0.078,0.020,0.025,0.126
51,1751197823.15,150,7.420,0.865,6.779,69.326,6.04,-0.00,-0.88,-0.00,1.94,none,0,0,0,39.43,4.91,0.00,7.19,0.096,0.021,0.022,0.139
52,1751197823.29,149,7.434,0.968,6.177,102.984,6.26,-0.00,-0.88,-0.00,1.95,none,0,0,0,39.48,4.92,0.00,8.83,0.070,0.019,0.022,0.113
53,1751197823.40,147,7.449,1.049,6.064,74.835,6.54,-0.00,-0.88,-0.00,1.95,none,0,0,0,39.54,4.93,0.00,7.07,0.095,0.019,0.025,0.141
54,1751197823.55,150,7.500,1.225,5.447,78.856,6.78,-0.00,-0.87,-0.00,1.96,resume_reinforce,0,0,0,39.58,4.94,0.00,8.08,0.080,0.019,0.021,0.124
55,1751197823.67,149,7.617,1.436,5.758,85.416,7.00,-0.00,-0.87,-0.00,1.96,none,0,0,0,39.61,4.94,0.00,8.91,0.070,0.019,0.023,0.112
56,1751197823.78,147,7.628,1.574,6.001,77.108,7.24,-0.00,-0.87,-0.00,1.96,none,0,0,0,39.63,4.95,0.00,7.95,0.077,0.020,0.026,0.126
57,1751197823.91,149,7.637,1.754,6.048,70.739,7.48,-0.00,-0.87,-0.00,1.97,none,0,0,1,39.66,4.95,0.00,8.23,0.077,0.020,0.022,0.122
58,1751197824.03,150,7.629,2.012,5.953,71.921,7.76,-0.00,-0.87,-0.00,1.97,none,0,0,1,39.68,4.95,0.00,6.90,0.095,0.023,0.025,0.145
59,1751197824.18,148,7.526,2.154,5.853,92.607,8.02,-0.00,-0.87,-0.00,1.97,none,0,0,1,39.70,4.95,0.00,7.85,0.082,0.020,0.025,0.127
60,1751197824.30,147,7.446,2.327,5.755,89.708,8.26,0.00,-0.87,-0.00,1.97,none,0,0,1,39.71,4.96,0.00,8.01,0.080,0.020,0.022,0.125
61,1751197824.43,148,7.401,2.377,5.776,69.966,8.49,0.00,-0.87,-0.00,1.97,none,0,0,1,39.72,4.96,0.00,8.43,0.073,0.019,0.025,0.119
62,1751197824.54,150,7.501,2.402,6.484,71.112,8.73,0.00,-0.87,-0.00,1.97,none,0,0,1,39.73,4.96,0.00,8.25,0.076,0.020,0.025,0.121
63,1751197824.67,149,7.536,2.428,6.685,73.391,8.99,0.00,-0.87,-0.00,1.97,none,0,0,1,39.74,4.96,0.00,7.81,0.083,0.020,0.023,0.128
64,1751197824.79,150,7.553,2.419,7.430,88.509,9.22,0.00,-0.86,-0.00,1.97,none,0,0,0,39.74,4.96,0.00,8.45,0.074,0.019,0.023,0.118
65,1751197824.91,149,7.558,2.466,7.283,99.814,9.44,0.00,-0.86,-0.00,1.97,none,0,0,0,39.75,4.96,0.00,8.73,0.070,0.019,0.025,0.115
66,1751197825.03,150,7.557,2.507,7.158,90.425,9.69,0.00,-0.86,-0.00,1.98,none,0,0,0,39.75,4.96,0.00,8.03,0.083,0.020,0.021,0.125
67,1751197825.15,148,7.546,2.414,7.217,91.677,9.92,0.00,-0.86,-0.00,1.98,none,0,0,0,39.75,4.96,0.00,8.34,0.074,0.020,0.023,0.120
68,1751197825.27,148,7.610,2.248,7.370,109.570,10.16,0.00,-0.86,-0.00,1.98,none,0,0,0,39.76,4.96,0.00,8.10,0.075,0.019,0.028,0.123
69,1751197825.39,150,7.625,2.131,7.368,94.718,10.39,0.00,-0.86,-0.00,1.98,none,0,0,0,39.76,4.96,0.00,8.69,0.071,0.020,0.021,0.115
70,1751197825.51,150,7.548,2.071,7.336,87.219,10.62,0.00,-0.86,-0.00,1.98,none,0,0,0,39.76,4.96,0.00,8.61,0.073,0.019,0.022,0.116
71,1751197825.63,150,7.569,2.003,7.281,68.719,10.88,0.00,-0.86,-0.00,1.98,none,0,0,0,39.76,4.96,0.00,7.82,0.081,0.021,0.024,0.128
72,1751197825.75,149,7.496,1.915,7.241,71.611,11.14,0.00,-0.86,-0.00,1.98,resume_reinforce,0,0,0,39.77,4.96,0.00,7.40,0.092,0.018,0.024,0.135
73,1751197825.89,150,7.490,1.868,7.233,72.821,11.38,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.96,0.00,8.35,0.075,0.020,0.022,0.120
74,1751197826.01,149,7.513,1.835,7.132,76.761,11.62,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.20,0.073,0.024,0.023,0.122
75,1751197826.13,150,7.500,1.688,7.097,81.597,11.85,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.36,0.074,0.021,0.023,0.120
76,1751197826.25,150,7.493,1.584,7.017,89.813,12.08,0.00,-0.86,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,8.79,0.069,0.020,0.024,0.114
77,1751197826.36,149,7.523,1.585,7.028,88.389,12.31,0.00,-0.86,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,8.34,0.072,0.021,0.025,0.120
78,1751197826.48,147,7.526,1.588,7.017,72.795,12.54,0.00,-0.86,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,8.69,0.069,0.021,0.023,0.115
79,1751197826.60,150,7.556,1.579,7.009,97.188,12.76,0.00,-0.86,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,8.85,0.066,0.020,0.025,0.113
80,1751197826.71,149,7.656,1.534,7.001,62.103,12.99,0.00,-0.86,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,8.34,0.074,0.021,0.022,0.120
81,1751197826.83,149,7.712,1.557,7.102,75.214,13.24,0.00,-0.86,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,8.13,0.081,0.019,0.022,0.123
82,1751197826.96,149,7.712,1.612,7.202,77.222,13.49,0.00,-0.86,-0.00,1.98,none,0,0,1,39.77,4.97,0.00,7.97,0.070,0.020,0.031,0.125
83,1751197827.08,148,7.678,1.729,7.179,53.792,13.72,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.53,0.074,0.020,0.022,0.117
84,1751197827.20,149,7.593,1.751,7.395,54.912,14.00,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,6.84,0.101,0.020,0.021,0.146
85,1751197827.34,149,7.645,1.874,7.534,67.184,14.24,0.00,-0.86,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.26,0.070,0.025,0.026,0.121
86,1751197827.47,150,7.636,1.993,7.628,59.304,14.48,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.36,0.075,0.021,0.022,0.120
87,1751197827.58,148,7.629,2.138,7.669,57.956,14.73,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.93,0.078,0.022,0.023,0.126
88,1751197827.71,150,7.547,2.264,7.645,76.379,14.94,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.91,0.066,0.019,0.025,0.112
89,1751197827.82,150,7.445,2.356,7.634,70.240,15.19,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.04,0.080,0.021,0.023,0.124
90,1751197827.95,150,7.396,2.421,7.733,63.317,15.47,0.00,-0.85,-0.00,1.98,resume_reinforce,0,0,0,39.77,4.97,0.00,7.01,0.094,0.021,0.025,0.143
91,1751197828.09,149,7.304,2.532,7.637,82.663,15.71,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.27,0.074,0.022,0.025,0.121
92,1751197828.21,150,7.358,2.625,7.526,79.157,15.94,0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.81,0.071,0.020,0.020,0.114
93,1751197828.32,150,7.495,2.637,7.386,58.990,16.15,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,9.14,0.067,0.019,0.021,0.109
94,1751197828.43,150,7.498,2.746,7.099,101.100,16.38,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.57,0.070,0.024,0.021,0.117
95,1751197828.55,150,7.431,2.826,6.902,150.507,16.64,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.70,0.085,0.020,0.024,0.130
96,1751197828.68,150,7.570,2.971,6.772,144.807,16.88,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.95,0.079,0.021,0.025,0.126
97,1751197828.81,150,7.511,3.085,6.557,34.917,17.12,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.16,0.080,0.019,0.020,0.122
98,1751197828.93,150,7.519,3.262,6.408,33.633,17.41,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,6.99,0.092,0.018,0.031,0.143
99,1751197829.07,150,7.608,3.537,6.355,41.603,17.64,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.34,0.080,0.018,0.021,0.120
100,1751197829.19,150,7.637,3.794,6.242,45.086,17.86,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.91,0.068,0.020,0.021,0.112
101,1751197829.30,150,7.684,4.017,6.178,39.373,18.11,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.92,0.084,0.018,0.023,0.126
102,1751197829.43,150,7.630,4.300,6.153,48.957,18.33,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.87,0.072,0.020,0.021,0.113
103,1751197829.54,145,7.561,4.629,6.247,39.190,18.60,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.22,0.088,0.021,0.026,0.138
104,1751197829.68,147,7.718,5.017,6.366,46.897,18.86,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.43,0.087,0.023,0.024,0.135
105,1751197829.82,148,7.769,5.351,6.416,51.749,19.12,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.55,0.088,0.020,0.026,0.132
106,1751197829.95,150,7.749,5.670,6.505,61.993,19.39,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.39,0.083,0.021,0.029,0.135
107,1751197830.08,150,7.771,5.973,6.687,75.053,19.65,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.33,0.089,0.021,0.023,0.136
108,1751197830.22,150,7.768,6.252,6.841,90.923,19.90,-0.00,-0.85,-0.00,1.98,resume_reinforce,0,0,0,39.77,4.97,0.00,8.14,0.079,0.020,0.024,0.123
109,1751197830.34,144,7.762,6.462,6.946,101.938,20.16,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.70,0.085,0.021,0.022,0.130
110,1751197830.47,146,7.805,6.710,7.084,119.697,20.43,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.14,0.099,0.019,0.021,0.140
111,1751197830.61,137,7.866,6.965,7.291,122.369,20.70,-0.00,-0.85,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,7.41,0.090,0.020,0.022,0.135
112,1751197830.75,140,7.916,7.148,7.486,179.111,20.92,-0.00,-0.84,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.92,0.069,0.019,0.022,0.112
113,1751197830.86,147,7.955,7.377,7.681,183.736,21.14,-0.00,-0.84,-0.00,1.98,none,0,0,0,39.77,4.97,0.00,8.73,0.070,0.019,0.024,0.115
114,1751197830.97,137,7.980,7.616,7.843,241.038,21.20,0.00,-0.84,-0.05,0.07,none,1,0,0,20.66,2.10,0.00,8.03,0.079,0.019,0.024,0.125
115,1751197831.10,107,8.140,7.781,8.071,433.906,21.20,0.00,-0.85,-0.08,0.13,none,1,0,0,21.32,2.20,0.00,7.73,0.087,0.017,0.023,0.129
