frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
18,1751127063.22,150,0.033,0.024,0.040,0.273,0.00,0.00,-0.85,0.00,0.01,none,1,0,0,20.09,2.01,0.00,0.91,0.069,0.021,0.023,1.094
19,1751127063.27,150,0.045,0.040,0.062,0.593,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.12,2.02,0.00,4.26,0.076,0.018,0.022,0.235
20,1751127063.50,150,0.056,0.050,0.078,0.725,0.00,0.00,-0.85,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.21,0.080,0.018,0.020,0.238
21,1751127063.74,150,0.064,0.057,0.086,0.823,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.13,2.02,0.00,4.38,0.071,0.019,0.021,0.228
22,1751127063.97,150,0.065,0.056,0.090,0.787,0.00,0.00,-0.86,0.00,0.01,none,0,0,0,20.11,2.02,0.00,4.35,0.067,0.019,0.021,0.230
23,1751127064.20,150,0.065,0.055,0.091,0.678,0.00,0.00,-0.86,0.00,0.01,resume_reinforce,0,0,0,20.10,2.01,0.00,4.44,0.068,0.019,0.022,0.225
28,1751127065.50,147,3.492,2.820,3.693,104.811,1.12,0.00,-0.98,-0.00,1.57,none,0,0,0,35.67,4.35,0.00,0.76,0.073,0.019,0.024,1.324
29,1751127065.75,135,4.121,3.422,4.507,62.910,1.52,0.00,-0.98,-0.00,1.69,none,0,0,0,36.94,4.54,0.00,3.99,0.077,0.021,0.022,0.250
30,1751127066.00,136,4.757,4.015,5.245,48.738,2.00,0.00,-0.98,-0.00,1.79,none,0,0,0,37.87,4.68,0.00,3.69,0.092,0.022,0.023,0.271
31,1751127066.27,147,5.451,4.691,5.997,64.687,2.48,0.00,-0.98,-0.00,1.85,none,0,0,0,38.49,4.77,0.00,3.78,0.075,0.019,0.026,0.264
32,1751127066.53,147,6.171,5.320,6.774,62.755,2.92,0.00,-0.98,-0.00,1.89,resume_reinforce,0,0,0,38.87,4.83,0.00,4.20,0.072,0.020,0.022,0.238
33,1751127066.77,146,6.870,5.903,7.522,62.254,3.44,0.00,-0.97,-0.00,1.92,none,0,0,0,39.17,4.88,0.00,3.63,0.087,0.021,0.023,0.276
34,1751127067.04,150,6.849,5.327,7.590,59.104,3.94,0.00,-0.97,-0.00,1.94,none,0,0,0,39.37,4.90,0.00,3.87,0.083,0.022,0.023,0.258
35,1751127067.30,148,7.028,5.088,7.780,108.570,4.47,0.00,-0.97,-0.00,1.95,none,0,0,0,39.50,4.93,0.00,3.63,0.097,0.022,0.025,0.275
36,1751127067.58,148,7.125,4.617,7.727,137.532,4.94,0.00,-0.97,-0.00,1.96,none,0,0,0,39.58,4.94,0.00,4.19,0.070,0.019,0.023,0.239
