frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,1.00,blind_forward,1,0,0,0.00,0.00,-0.84,0.00,0.01,1751310345.13,0,0.074,0.019,0.022,1.001
18,0.026,0.017,0.024,0.026,0.017,0.024,0.691,44,55,51,0.00,0.00,0.00,10.88,none,0,0,0,0.00,-0.00,-0.83,0.00,0.35,1751310345.13,150,0.069,0.020,0.025,0.092
19,2.349,1.580,2.241,2.324,1.563,2.217,51.765,43,59,48,0.00,0.00,0.00,7.19,none,0,0,0,0.01,-0.00,-0.74,0.00,1.02,1751310345.23,150,0.095,0.021,0.024,0.139
20,3.840,2.662,3.820,1.491,1.082,1.578,85.616,33,60,55,0.00,0.00,0.00,7.52,none,0,0,0,0.03,-0.00,-0.58,0.00,1.23,1751310345.36,148,0.093,0.020,0.020,0.133
21,4.573,3.326,4.388,0.732,0.664,0.568,40.154,32,68,44,0.00,0.00,0.00,7.87,none,0,0,0,0.09,-0.00,-0.44,0.00,1.14,1751310345.50,144,0.083,0.020,0.023,0.127
22,4.886,3.567,4.719,0.314,0.241,0.332,24.341,48,54,48,0.00,0.00,0.00,8.00,none,0,0,0,0.17,-0.00,-0.33,0.00,1.12,1751310345.62,150,0.078,0.021,0.024,0.125
23,4.676,3.273,4.520,-0.211,-0.295,-0.200,13.385,46,49,55,0.00,0.00,0.00,6.73,none,0,0,0,0.30,-0.00,-0.22,0.00,1.18,1751310345.75,150,0.101,0.019,0.026,0.149
24,4.681,3.147,4.537,0.006,-0.125,0.018,23.807,53,52,45,0.00,0.00,0.00,7.70,none,0,0,0,0.44,-0.00,-0.15,0.00,1.26,1751310345.90,150,0.082,0.023,0.025,0.130
25,4.756,3.111,4.627,0.075,-0.037,0.089,26.996,51,47,52,0.00,0.00,0.00,8.34,none,0,0,0,0.59,-0.00,-0.10,0.00,1.35,1751310346.03,150,0.073,0.022,0.023,0.120
26,4.849,3.102,4.744,0.093,-0.008,0.118,29.114,52,46,52,11.78,4.17,0.00,7.47,none,0,0,1,0.77,-0.00,-0.05,0.00,1.44,1751310346.15,150,0.089,0.019,0.022,0.134
27,5.532,3.463,5.452,0.683,0.361,0.707,40.949,51,43,56,12.09,4.28,0.00,8.58,none,0,0,1,0.95,-0.00,-0.02,0.00,1.52,1751310346.28,150,0.074,0.019,0.022,0.117
28,6.213,3.836,6.191,0.680,0.373,0.740,38.521,55,36,59,12.38,4.39,0.00,7.87,none,0,0,1,1.14,-0.00,-0.00,0.00,1.59,1751310346.40,150,0.081,0.023,0.022,0.127
29,6.321,3.815,6.340,0.108,-0.021,0.148,52.615,56,30,64,12.60,4.48,0.00,9.03,none,0,0,1,1.32,-0.00,0.01,0.00,1.65,1751310346.53,150,0.069,0.019,0.022,0.111
30,6.305,3.670,6.314,-0.015,-0.145,-0.026,49.771,67,18,65,12.80,4.55,0.00,8.61,none,0,0,1,1.51,-0.00,0.02,0.00,1.70,1751310346.64,150,0.072,0.020,0.022,0.116
31,6.449,3.517,6.563,0.144,-0.153,0.250,56.057,74,8,66,12.98,4.62,0.00,8.34,none,0,0,1,1.72,-0.00,0.03,0.00,1.75,1751310346.75,148,0.076,0.020,0.023,0.120
32,6.587,3.561,6.889,0.138,0.044,0.326,53.853,67,5,73,13.14,4.68,0.00,7.85,none,0,0,1,1.94,-0.00,0.03,0.00,1.79,1751310346.87,145,0.081,0.020,0.023,0.127
