frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
18,1751201415.32,0,0.000,0.000,0.000,0.000,0.00,0.00,-0.85,0.00,0.01,blind_forward,1,0,0,0.00,0.00,0.00,0.95,0.078,0.024,0.024,1.058
19,1751201415.33,150,0.026,0.024,0.024,0.377,0.00,0.00,-0.84,0.00,0.08,none,0,0,0,20.73,2.11,0.00,8.82,0.069,0.021,0.025,0.113
20,1751201415.44,148,3.397,2.791,3.103,67.013,0.03,0.00,-0.86,0.00,0.37,none,0,0,0,23.68,2.55,0.00,6.66,0.105,0.019,0.022,0.150
21,1751201415.59,150,3.608,3.636,3.463,37.505,0.08,0.00,-0.89,0.00,0.58,none,0,0,0,25.74,2.86,0.00,7.84,0.078,0.023,0.025,0.127
22,1751201415.72,150,3.365,3.075,3.271,14.425,0.16,0.00,-0.92,0.00,0.75,none,0,0,0,27.50,3.12,0.00,8.69,0.071,0.020,0.024,0.115
23,1751201415.83,149,3.934,3.651,3.948,30.196,0.25,0.00,-0.93,0.00,0.92,none,0,0,0,29.20,3.38,0.00,8.31,0.073,0.022,0.023,0.120
24,1751201415.95,150,4.299,4.001,4.312,36.541,0.39,0.00,-0.95,0.00,1.09,none,0,0,0,30.89,3.63,0.00,7.54,0.086,0.020,0.023,0.133
25,1751201416.09,150,4.505,4.143,4.514,36.643,0.54,0.00,-0.96,0.00,1.24,none,0,0,0,32.38,3.86,0.00,7.39,0.086,0.019,0.027,0.135
26,1751201416.22,150,4.715,4.333,4.715,36.077,0.70,0.00,-0.96,0.00,1.35,none,0,0,0,33.54,4.03,0.00,8.39,0.071,0.022,0.024,0.119
27,1751201416.34,150,4.987,4.639,4.994,24.084,0.87,0.00,-0.97,0.00,1.46,none,0,0,0,34.55,4.18,0.00,8.23,0.077,0.019,0.024,0.122
28,1751201416.46,150,5.702,5.402,5.727,21.794,1.06,-0.00,-0.97,0.00,1.54,none,0,0,0,35.43,4.31,0.00,7.88,0.079,0.023,0.023,0.127
29,1751201416.59,150,6.439,6.188,6.493,31.032,1.24,-0.00,-0.97,0.00,1.61,none,0,0,0,36.10,4.42,0.00,8.69,0.070,0.020,0.024,0.115
30,1751201416.70,150,6.248,6.180,6.364,31.055,1.43,-0.00,-0.97,0.00,1.67,none,0,0,0,36.69,4.50,0.00,8.63,0.071,0.018,0.025,0.116
31,1751201416.82,148,6.705,6.346,6.706,29.690,1.67,-0.00,-0.97,0.00,1.73,none,0,0,0,37.26,4.59,0.00,7.17,0.094,0.018,0.025,0.139
32,1751201416.96,149,7.157,7.076,7.177,44.784,1.87,-0.00,-0.97,0.00,1.77,none,0,0,0,37.66,4.65,0.00,8.66,0.071,0.022,0.022,0.115
33,1751201417.07,141,7.262,7.340,7.196,49.259,2.06,-0.00,-0.97,0.00,1.80,none,0,0,0,37.97,4.70,0.00,9.03,0.066,0.019,0.024,0.111
34,1751201417.19,150,7.423,7.711,7.382,47.963,2.26,-0.00,-0.96,0.00,1.82,none,0,0,0,38.25,4.74,0.00,8.92,0.066,0.019,0.025,0.112
35,1751201417.30,150,7.681,8.152,7.611,47.311,2.48,-0.00,-0.96,0.00,1.85,none,0,0,0,38.49,4.77,0.00,8.42,0.074,0.019,0.024,0.119
36,1751201417.42,150,7.955,8.516,7.767,48.703,2.69,-0.00,-0.96,0.00,1.79,resume_reinforce,0,0,0,37.92,4.69,0.00,8.68,0.071,0.019,0.022,0.115
37,1751201417.53,150,8.245,10.481,7.969,93.816,2.89,-0.00,-0.95,0.00,1.71,none,0,0,0,0.00,0.00,0.00,8.77,0.071,0.018,0.025,0.114
38,1751201417.65,150,8.486,11.229,8.174,59.214,3.09,-0.00,-0.94,0.00,1.68,none,0,0,0,0.00,0.00,0.00,8.52,0.073,0.020,0.024,0.117
39,1751201417.76,150,8.624,12.042,8.233,46.911,3.29,-0.00,-0.93,0.00,1.69,none,0,0,0,0.00,0.00,0.00,8.30,0.071,0.022,0.024,0.120
40,1751201417.88,149,8.620,12.042,8.198,54.287,3.49,-0.00,-0.93,0.00,1.71,none,0,0,0,0.00,0.00,0.00,8.42,0.073,0.022,0.023,0.119
41,1751201418.00,150,8.782,11.800,8.362,52.760,3.73,-0.00,-0.92,0.00,1.75,none,0,0,0,0.00,0.00,0.00,7.13,0.096,0.019,0.023,0.140
42,1751201418.14,150,9.144,11.125,8.713,60.976,3.94,-0.00,-0.91,0.00,1.78,none,0,0,0,0.00,0.00,0.00,8.24,0.076,0.020,0.025,0.121
43,1751201418.26,148,9.378,10.245,8.911,58.822,4.16,-0.00,-0.91,0.00,1.81,none,0,0,0,0.00,0.00,0.00,8.30,0.070,0.023,0.024,0.121
44,1751201418.38,148,9.535,9.329,9.047,52.762,4.40,0.00,-0.90,0.00,1.84,none,0,0,0,0.00,0.00,0.00,7.65,0.085,0.021,0.022,0.131
45,1751201418.51,149,9.810,8.445,9.196,60.769,4.62,0.00,-0.90,0.00,1.86,none,0,0,0,0.00,0.00,0.00,8.28,0.076,0.021,0.022,0.121
46,1751201418.64,145,10.173,7.568,9.553,68.913,4.86,-0.00,-0.89,-0.00,1.88,none,0,0,0,38.80,4.82,0.00,7.77,0.083,0.019,0.025,0.129
47,1751201418.76,148,10.860,4.926,10.106,113.940,5.09,-0.00,-0.89,-0.00,1.90,none,0,0,0,38.96,4.84,0.00,8.00,0.081,0.019,0.023,0.125
