frame,flow_left,flow_center,flow_right,delta_left,delta_center,delta_right,flow_std,left_count,center_count,right_count,brake_thres,dodge_thres,probe_req,fps,state,collided,obstacle,side_safe,pos_x,pos_y,pos_z,yaw,speed,time,features,simgetimage_s,decode_s,processing_s,loop_s
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,6.03,2.01,0.00,1.00,blind_forward,1,0,0,0.00,0.00,-0.84,0.00,0.01,1751309681.12,0,0.071,0.018,0.022,0.998
18,0.026,0.018,0.025,0.026,0.018,0.025,0.596,43,55,52,0.00,0.00,0.00,8.50,none,0,0,0,0.00,-0.00,-0.82,-0.00,0.48,1751309681.13,150,0.087,0.020,0.023,0.118
19,3.032,2.591,2.689,3.005,2.572,2.665,86.638,42,60,48,0.00,0.00,0.00,7.81,none,0,0,0,0.01,-0.00,-0.72,-0.00,1.11,1751309681.25,150,0.082,0.021,0.024,0.128
20,3.961,3.673,4.129,0.929,1.082,1.440,75.897,31,68,51,0.00,0.00,0.00,8.45,none,0,0,0,0.03,-0.00,-0.58,-0.00,1.23,1751309681.37,150,0.072,0.021,0.023,0.118
21,4.118,3.913,4.265,0.157,0.241,0.135,47.225,44,56,43,0.00,0.00,0.00,8.10,none,0,0,0,0.09,-0.00,-0.44,-0.00,1.14,1751309681.49,143,0.077,0.020,0.024,0.123
22,4.454,4.019,4.589,0.336,0.106,0.325,22.490,48,50,52,0.00,0.00,0.00,7.91,none,0,0,0,0.17,-0.00,-0.33,0.00,1.12,1751309681.62,150,0.077,0.023,0.025,0.126
23,4.299,3.663,4.420,-0.156,-0.356,-0.169,16.404,51,45,52,0.00,0.00,0.00,8.46,none,0,0,0,0.27,-0.00,-0.24,0.00,1.16,1751309681.74,148,0.071,0.022,0.024,0.118
24,4.223,3.416,4.304,-0.076,-0.248,-0.117,20.834,55,56,39,0.00,0.00,0.00,8.09,none,0,0,0,0.40,-0.00,-0.17,0.00,1.24,1751309681.86,150,0.074,0.023,0.023,0.124
25,4.309,3.314,4.383,0.086,-0.101,0.079,24.448,49,53,48,0.00,0.00,0.00,8.61,none,0,0,0,0.54,-0.00,-0.11,0.00,1.32,1751309681.98,150,0.072,0.022,0.023,0.116
26,4.418,3.292,4.500,0.109,-0.022,0.117,28.762,53,44,53,0.00,0.00,0.00,8.02,none,0,0,0,0.70,-0.00,-0.07,0.00,1.41,1751309682.10,150,0.078,0.019,0.026,0.125
27,5.041,3.612,5.115,0.623,0.320,0.615,30.692,57,46,47,12.00,4.25,0.00,7.47,none,0,0,1,0.89,-0.00,-0.03,0.00,1.50,1751309682.23,150,0.087,0.020,0.025,0.134
28,5.787,4.017,5.872,0.745,0.405,0.756,46.184,58,37,55,12.27,4.35,0.00,8.84,none,0,0,1,1.06,-0.00,-0.01,0.00,1.57,1751309682.36,150,0.069,0.019,0.023,0.113
29,5.605,3.631,5.828,-0.182,-0.386,-0.043,43.244,60,30,60,12.51,4.44,0.00,8.60,none,0,0,1,1.24,-0.00,0.01,0.00,1.63,1751309682.47,150,0.069,0.022,0.023,0.116
30,5.780,3.389,5.808,0.175,-0.242,-0.020,49.054,61,24,65,12.74,4.53,0.00,8.11,none,0,0,1,1.45,-0.00,0.02,0.00,1.68,1751309682.59,150,0.075,0.019,0.026,0.123
31,6.201,3.398,6.235,0.421,0.008,0.427,49.994,73,7,64,12.94,4.60,0.00,7.80,none,0,0,1,1.67,-0.00,0.03,0.00,1.73,1751309682.71,144,0.080,0.024,0.023,0.128
32,6.389,3.568,6.530,0.188,0.171,0.296,60.329,65,5,78,13.09,4.66,0.00,8.37,none,0,0,1,1.87,-0.00,0.03,0.00,1.77,1751309682.84,148,0.075,0.020,0.023,0.120
33,6.816,3.997,7.051,0.427,0.429,0.520,56.442,73,3,73,13.22,4.71,0.00,8.59,none,0,0,1,2.08,-0.00,0.04,0.00,1.81,1751309682.96,149,0.070,0.022,0.024,0.116
34,7.255,4.563,7.585,0.439,0.566,0.535,54.047,70,2,78,13.34,4.75,0.00,7.96,none,0,0,1,2.31,-0.00,0.04,0.00,1.84,1751309683.08,150,0.082,0.019,0.021,0.126
35,7.525,5.136,7.932,0.270,0.573,0.347,56.338,77,2,70,13.19,4.70,0.00,8.05,resume_reinforce,0,0,1,2.54,-0.00,0.04,0.00,1.80,1751309683.20,149,0.079,0.020,0.024,0.124
36,7.703,6.150,7.994,0.178,1.014,0.062,48.574,74,1,74,12.77,4.54,0.00,7.60,none,0,0,1,2.77,-0.00,0.02,0.00,1.69,1751309683.33,149,0.084,0.021,0.025,0.132
37,7.870,7.763,8.196,0.167,1.613,0.202,43.932,71,2,77,12.69,4.51,0.00,8.18,none,0,0,1,2.97,-0.00,0.01,0.00,1.67,1751309683.46,150,0.071,0.022,0.026,0.122
38,7.806,8.603,8.008,-0.064,0.840,-0.189,35.674,78,1,71,12.75,4.53,0.00,8.05,none,0,0,1,3.17,-0.00,0.01,0.00,1.69,1751309683.58,150,0.079,0.020,0.023,0.124
39,8.049,8.814,8.110,0.243,0.210,0.102,63.777,76,1,73,12.86,4.57,0.00,8.53,none,0,0,1,3.37,-0.00,0.01,0.00,1.71,1751309683.70,150,0.073,0.020,0.023,0.117
40,8.151,9.314,8.146,0.102,0.500,0.036,66.907,71,1,78,12.99,4.62,0.00,8.56,none,0,0,1,3.57,-0.00,0.02,0.00,1.75,1751309683.82,150,0.068,0.023,0.024,0.117
41,8.281,9.525,8.225,0.130,0.211,0.079,64.006,72,2,74,13.12,4.67,0.00,7.89,none,0,0,1,3.80,-0.00,0.02,0.00,1.78,1751309683.94,148,0.083,0.021,0.021,0.127
42,8.470,8.961,8.256,0.189,-0.564,0.031,57.836,76,3,71,13.24,4.72,0.00,8.41,none,0,0,1,4.01,-0.00,0.02,0.00,1.81,1751309684.06,150,0.074,0.022,0.021,0.119
43,8.738,8.439,8.406,0.268,-0.522,0.150,63.493,75,3,70,13.34,4.75,0.00,8.04,none,0,0,1,4.23,-0.00,0.03,0.00,1.84,1751309684.18,148,0.075,0.023,0.024,0.124
44,8.893,7.740,8.601,0.154,-0.699,0.195,63.334,77,4,69,13.43,4.79,0.00,8.36,none,0,0,1,4.45,-0.00,0.03,0.00,1.86,1751309684.31,150,0.073,0.023,0.022,0.120
45,9.193,7.000,8.936,0.300,-0.739,0.335,71.315,77,6,65,13.51,4.82,0.00,8.70,none,0,0,1,4.67,-0.00,0.03,0.00,1.88,1751309684.43,148,0.071,0.020,0.022,0.115
46,9.648,5.689,9.604,0.455,-1.311,0.668,77.345,68,4,74,13.58,4.84,0.00,7.85,none,0,0,1,4.91,-0.00,0.03,0.00,1.89,1751309684.54,146,0.086,0.019,0.022,0.127
47,10.384,3.840,10.404,0.736,-1.849,0.800,112.387,76,6,67,13.64,4.86,0.00,7.62,none,0,0,1,5.15,-0.00,0.03,0.00,1.91,1751309684.67,149,0.087,0.021,0.022,0.131
48,11.682,3.151,11.820,1.298,-0.689,1.416,195.082,67,22,57,13.68,4.88,0.00,8.74,none,0,0,1,5.37,-0.00,0.02,0.00,1.92,1751309684.80,146,0.072,0.020,0.021,0.114
49,12.797,3.277,12.720,1.115,0.126,0.900,228.230,38,64,48,13.72,4.89,0.00,7.85,none,0,0,1,5.62,-0.00,0.02,0.00,1.93,1751309684.92,150,0.082,0.020,0.023,0.127
50,13.005,3.144,13.309,0.208,-0.133,0.589,97.368,62,20,68,13.75,4.91,0.00,8.54,none,0,0,1,5.84,-0.00,0.02,0.00,1.94,1751309685.04,150,0.076,0.018,0.022,0.117
51,13.438,2.729,13.985,0.433,-0.415,0.676,131.806,56,10,84,13.77,4.92,0.00,8.53,none,0,0,1,6.07,-0.00,0.02,0.00,1.94,1751309685.16,150,0.076,0.017,0.022,0.117
52,13.891,2.971,14.850,0.453,0.241,0.865,119.562,56,9,83,13.80,4.92,0.00,8.14,none,0,0,0,6.31,-0.00,0.02,0.00,1.95,1751309685.28,148,0.078,0.021,0.022,0.123
53,14.600,3.417,15.421,0.709,0.447,0.572,115.431,61,11,77,13.82,4.93,0.00,7.88,resume_reinforce,0,0,0,6.56,-0.00,0.02,0.00,1.95,1751309685.40,149,0.079,0.022,0.023,0.127
54,15.340,3.940,15.873,0.739,0.522,0.452,129.962,35,12,99,13.83,4.94,0.00,8.26,none,0,0,0,6.79,-0.00,0.02,-0.00,1.96,1751309685.53,146,0.072,0.023,0.024,0.121
55,15.776,4.470,16.235,0.436,0.530,0.362,133.912,52,12,85,13.84,4.94,0.00,8.44,none,0,0,0,7.02,-0.00,0.01,0.00,1.96,1751309685.65,149,0.075,0.020,0.023,0.119
