frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
17,1751213817.63,0,0.000,0.000,0.000,0.000,0.00,0.00,-0.84,0.00,0.01,blind_forward,1,0,0,0.00,0.00,0.00,1.00,0.073,0.018,0.020,0.998
18,1751213817.64,150,0.006,0.006,0.007,0.102,0.00,0.00,-0.84,0.00,0.01,none,0,0,0,0.00,0.00,0.00,17.66,0.067,0.020,0.026,0.057
19,1751213817.69,150,0.459,0.444,0.460,9.730,0.00,-0.00,-0.85,-0.00,0.13,none,0,0,0,0.00,0.00,0.00,11.52,0.078,0.018,0.024,0.087
20,1751213817.78,150,2.751,2.803,2.956,109.757,0.03,-0.00,-0.86,-0.00,0.36,none,0,0,0,0.00,0.00,0.00,8.43,0.072,0.022,0.023,0.119
21,1751213817.90,150,3.468,3.165,3.632,46.010,0.08,-0.00,-0.89,-0.00,0.56,none,0,0,0,0.00,0.00,0.00,8.17,0.077,0.019,0.025,0.122
22,1751213818.02,150,3.351,2.860,3.459,10.415,0.16,-0.00,-0.91,-0.00,0.75,none,0,0,0,0.00,0.00,0.00,7.99,0.081,0.019,0.023,0.125
23,1751213818.15,149,3.946,3.318,4.166,31.830,0.27,-0.00,-0.94,-0.00,0.94,none,0,0,0,0.00,0.00,0.00,7.33,0.089,0.020,0.025,0.136
24,1751213818.28,150,4.188,3.469,4.408,42.913,0.39,-0.00,-0.95,-0.00,1.09,none,0,0,0,0.00,0.00,0.00,8.48,0.071,0.021,0.024,0.118
25,1751213818.40,150,4.518,3.675,4.668,35.278,0.54,-0.00,-0.96,-0.00,1.24,none,0,0,0,0.00,0.00,0.00,7.70,0.087,0.019,0.023,0.130
26,1751213818.53,150,4.744,3.816,4.843,38.667,0.70,-0.00,-0.96,-0.00,1.36,none,0,0,0,0.00,0.00,0.00,8.00,0.077,0.022,0.024,0.125
27,1751213818.66,150,5.570,4.443,5.536,37.152,0.87,0.00,-0.97,-0.00,1.46,none,0,0,0,9.37,4.18,0.00,8.40,0.076,0.019,0.022,0.119
28,1751213818.77,150,6.324,5.123,6.270,29.429,1.07,0.00,-0.97,-0.00,1.55,none,0,0,0,9.65,4.32,0.00,7.47,0.088,0.022,0.021,0.134
29,1751213818.91,150,6.879,5.635,6.821,36.730,1.26,0.00,-0.97,-0.00,1.62,none,0,0,0,9.85,4.43,0.00,8.29,0.078,0.020,0.023,0.121
30,1751213819.03,150,6.710,5.372,6.570,39.070,1.45,0.00,-0.97,-0.00,1.68,none,0,0,0,10.02,4.51,0.00,8.65,0.071,0.021,0.022,0.116
31,1751213819.14,148,7.059,5.646,6.840,35.529,1.69,0.00,-0.97,-0.00,1.73,none,0,0,0,10.19,4.60,0.00,7.26,0.094,0.019,0.023,0.138
32,1751213819.28,147,7.528,6.346,7.292,45.814,1.90,0.00,-0.97,-0.00,1.77,none,0,0,0,10.31,4.66,0.00,8.31,0.072,0.024,0.023,0.120
33,1751213819.40,147,7.563,6.579,7.205,52.072,2.11,0.00,-0.96,-0.00,1.81,none,0,0,0,10.41,4.71,0.00,8.34,0.075,0.021,0.023,0.120
34,1751213819.52,150,7.767,7.112,7.376,55.354,2.32,0.00,-0.96,-0.00,1.83,none,0,0,0,10.49,4.75,0.00,8.95,0.068,0.020,0.023,0.112
35,1751213819.63,150,7.898,7.635,7.553,56.744,2.53,0.00,-0.96,-0.00,1.85,resume_reinforce,0,0,0,10.56,4.78,0.00,8.41,0.072,0.022,0.022,0.119
36,1751213819.75,150,7.777,9.050,7.449,44.022,2.76,0.00,-0.95,-0.00,1.83,none,0,0,0,10.49,4.74,0.00,8.19,0.073,0.023,0.025,0.122
37,1751213819.88,150,7.948,9.761,7.717,63.776,2.97,0.00,-0.94,-0.00,1.83,none,0,0,0,10.49,4.74,0.00,8.50,0.072,0.022,0.022,0.118
38,1751213819.99,149,8.056,9.931,7.800,58.883,3.23,0.00,-0.93,-0.00,1.84,none,0,0,0,10.53,4.76,0.00,7.10,0.093,0.023,0.022,0.141
39,1751213820.13,145,8.310,9.288,7.941,51.683,3.46,0.00,-0.92,-0.00,1.86,none,0,0,0,10.57,4.79,0.00,8.06,0.077,0.021,0.024,0.124
40,1751213820.26,150,8.496,8.562,8.165,54.026,3.70,0.00,-0.92,-0.00,1.88,none,0,0,0,10.63,4.81,0.00,7.68,0.082,0.023,0.023,0.130
41,1751213820.39,150,8.523,7.835,8.234,52.448,3.93,0.00,-0.91,-0.00,1.89,none,0,0,0,10.67,4.84,0.00,8.24,0.077,0.019,0.024,0.121
42,1751213820.51,150,8.778,7.058,8.584,59.461,4.16,0.00,-0.91,-0.00,1.90,none,0,0,0,10.71,4.86,0.00,8.08,0.076,0.022,0.022,0.124
43,1751213820.63,149,8.949,6.285,8.768,57.163,4.39,0.00,-0.90,-0.00,1.92,none,0,0,0,10.75,4.87,0.00,8.36,0.073,0.022,0.025,0.120
44,1751213820.75,149,9.288,5.334,8.998,59.645,4.63,0.00,-0.90,-0.00,1.93,none,0,0,0,10.78,4.89,0.00,7.65,0.085,0.022,0.023,0.131
45,1751213820.88,149,9.846,4.323,9.188,80.131,4.86,-0.00,-0.89,-0.00,1.93,none,0,0,0,10.80,4.90,0.00,8.55,0.074,0.020,0.023,0.117
46,1751213821.00,149,10.908,2.507,10.060,98.510,5.10,-0.00,-0.89,-0.00,1.94,none,0,0,1,10.82,4.91,0.00,7.92,0.081,0.020,0.023,0.126
47,1751213821.13,147,11.705,1.501,11.118,145.196,5.36,-0.00,-0.89,-0.00,1.95,none,0,0,1,10.84,4.92,0.00,7.55,0.088,0.022,0.022,0.133
48,1751213821.26,148,12.972,1.487,12.398,219.608,5.59,-0.00,-0.88,-0.00,1.95,none,0,0,1,10.86,4.93,0.00,8.62,0.071,0.018,0.025,0.116
49,1751213821.38,149,13.346,2.044,13.043,104.652,5.82,-0.00,-0.88,-0.00,1.96,none,0,0,0,10.87,4.93,0.00,8.25,0.074,0.018,0.025,0.121
50,1751213821.50,147,13.586,2.221,13.558,98.374,6.06,-0.00,-0.88,-0.00,1.96,none,0,0,0,10.88,4.94,0.00,8.25,0.072,0.022,0.025,0.121
51,1751213821.62,146,14.070,2.441,14.142,111.647,6.29,-0.00,-0.88,-0.00,1.96,none,0,0,0,10.89,4.94,0.00,8.51,0.071,0.023,0.023,0.118
52,1751213821.74,147,14.479,2.750,14.442,89.915,6.52,-0.00,-0.88,-0.00,1.96,none,0,0,0,10.89,4.95,0.00,8.55,0.072,0.019,0.024,0.117
53,1751213821.85,146,15.008,3.146,14.841,134.628,6.74,-0.00,-0.88,-0.00,1.97,resume_reinforce,0,0,0,10.90,4.95,0.00,8.89,0.067,0.019,0.025,0.112
54,1751213821.96,140,15.298,3.245,15.115,96.154,6.97,-0.00,-0.87,-0.00,1.97,none,0,0,0,10.91,4.95,0.00,8.34,0.072,0.021,0.024,0.120
55,1751213822.08,144,15.169,3.571,15.454,97.231,7.21,-0.00,-0.87,-0.00,1.97,none,0,0,0,10.91,4.95,0.00,8.40,0.074,0.021,0.022,0.119
56,1751213822.20,148,14.609,3.984,15.329,84.137,7.43,-0.00,-0.87,-0.00,1.97,none,0,0,0,10.91,4.96,0.00,8.60,0.071,0.019,0.024,0.116
57,1751213822.32,148,14.168,4.148,14.558,97.825,7.65,-0.00,-0.87,-0.00,1.97,none,0,0,0,10.92,4.96,0.00,9.01,0.067,0.018,0.023,0.111
58,1751213822.43,149,13.578,3.653,13.742,103.234,7.88,-0.00,-0.87,-0.00,1.97,none,0,0,0,10.92,4.96,0.00,8.72,0.069,0.019,0.023,0.115
59,1751213822.55,148,13.601,3.406,13.609,97.216,8.13,-0.00,-0.87,-0.00,1.97,none,0,0,0,10.92,4.96,0.00,7.77,0.084,0.020,0.022,0.129
60,1751213822.67,148,13.709,3.535,13.459,113.445,8.34,-0.00,-0.87,-0.00,1.97,none,0,0,0,10.92,4.96,0.00,9.24,0.065,0.020,0.023,0.108
61,1751213822.78,149,13.624,3.563,13.274,108.279,8.58,-0.00,-0.87,-0.00,1.97,none,0,0,0,10.92,4.96,0.00,8.52,0.072,0.019,0.025,0.117
62,1751213822.90,144,13.792,3.460,13.146,89.636,8.81,-0.00,-0.87,-0.00,1.98,none,0,0,0,10.93,4.96,0.00,8.48,0.074,0.018,0.023,0.118
63,1751213823.02,142,13.724,3.283,13.201,103.125,9.03,-0.00,-0.87,-0.00,1.98,none,0,0,0,10.93,4.96,0.00,8.97,0.069,0.018,0.023,0.112
64,1751213823.13,147,14.159,3.411,12.930,114.401,9.24,-0.00,-0.87,-0.00,1.98,none,0,0,1,10.93,4.96,0.00,8.95,0.070,0.020,0.022,0.112
65,1751213823.24,149,14.414,3.434,12.746,96.337,9.49,-0.00,-0.87,-0.00,1.98,none,0,0,1,10.93,4.96,0.00,7.95,0.078,0.019,0.025,0.126
